elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
14827,100000,1.5250012163588671e+38; 1.2362304936087287e+35; -1.300957460570914e+38,3.322076404921831e+37; 1.0970069809170585e+38; 3.3082825916805073e+37
14683,100000,-1.6627086363628601e+38; -1.0540095909139412e+38; 1.7584285275379017e+38,-8.965514646740562e+37; -3.355619808866518e+38; -1.1868598808780997e+38
14873,100000,1.7037353367428626e+37; 2.4721204804206037e+38; 9.066569724349797e+37,2.38948568438931e+38; -7.093083156950648e+37; -4.60300310988625e+37
14982,100000,1.1620959714604732e+38; -3.211148002435611e+38; 2.2453317033168923e+37,2.3404383558375675e+38; -2.4890420947529303e+38; -1.2633396754790213e+38
15058,100000,-3.1655381366634955e+38; -1.1808798374144446e+36; -1.6547355197356167e+38,1.5861446697620835e+38; 1.686568863020596e+38; -1.9879087803960176e+38
15894,100000,-1.39060337854195e+38; -8.403483498960734e+37; 1.9079549132661346e+38,3.056932932079302e+38; -7.918066111097259e+37; -2.753946995752496e+38
14871,100000,2.677868691449679e+38; -8.892122747589749e+37; 7.2291182922828195e+37,1.0182344627345402e+38; -5.708240286972279e+37; -3.1852771805138653e+38
14650,100000,2.089888330234986e+38; 2.5357553236074846e+38; -3.027590167281603e+38,1.7657091012892285e+38; 1.7823371847868192e+36; 3.1114569168722226e+38
14898,100000,-3.070895748498648e+38; -1.214788049017992e+38; 2.2972810390347254e+38,-3.0581395326266233e+38; 2.72229872945515e+38; 3.3775834274022163e+38
23616,100000,-8.420629740979421e+37; 2.9780968285426763e+38; -1.3382289235188244e+38,-2.4604505904069506e+38; 2.071463789351029e+38; 2.623093610425865e+38
21877,100000,-2.9264034568340413e+38; -3.4007909661189067e+38; -4.461319830539702e+37,-2.3245377580046887e+38; -2.62449755881863e+38; -3.360879037676745e+38
21023,100000,-1.2003978822282971e+38; -7.880967048630979e+37; -2.9253430924599624e+38,-3.1692885570233067e+38; 1.2960993164105993e+38; 1.6649303715108441e+38
23018,100000,-1.0828169000981037e+38; -7.717799626911762e+37; 2.447005786728882e+38,-4.208018648192457e+37; -3.054626822107367e+38; 1.7672863375190444e+37
24732,100000,-2.0111978543993146e+38; -2.2514298125883262e+38; 3.0879826644692443e+37,-2.8081196892110814e+38; -2.280616250714005e+37; 9.087496861048724e+36
22841,100000,1.1740725315073335e+38; -3.2175475083137553e+38; 7.782178530294953e+37,-1.4270046247058157e+38; -3.278082793665006e+38; 5.734559248734217e+37
25325,100000,-1.3164353729876527e+38; -2.0408239644591765e+38; -2.5210793776664743e+38,2.5378471182306922e+36; 2.9551073257292252e+38; -3.2532794856667245e+36
21966,100000,3.373553921086259e+37; -2.099813730198629e+38; -2.4990910145910595e+38,3.012875279114154e+38; -3.49086611058318e+37; 7.040591773836157e+37
14648,100000,-1.7985446998447722e+38; 2.4640312469983793e+38; -2.5932022064483874e+38,-3.3481070015252294e+38; -2.8715151999646392e+38; -3.261813461625533e+38
15203,100000,-2.2346031199329447e+38; -3.9015202548765146e+37; 1.926818771142107e+38,-3.1094221855407843e+38; -2.150939600086554e+38; 1.8551675083834787e+38
14864,100000,7.369689081462608e+37; -1.1380268613368318e+37; -2.4676695056330823e+38,-2.4885697174332612e+38; -2.3412062478651617e+38; -1.7976303688198396e+38
14679,100000,3.0744218454082428e+38; -3.1638457217001427e+37; 3.100118035783301e+38,-1.5446437159395236e+38; -2.359370565433904e+37; -3.1773312423154907e+37
