elapsed.ps,repeats.n,param.array.array
25593,100000,array<integer>[1]
25353,100000,array<integer>[1]
27002,100000,array<integer>[1]
25423,100000,array<integer>[1]
25549,100000,array<integer>[1]
25457,100000,array<integer>[1]
25057,100000,array<integer>[1]
25410,100000,array<integer>[1]
25035,100000,array<integer>[1]
25436,100000,array<integer>[1]
25177,100000,array<integer>[1]
25446,100000,array<integer>[1]
33149,100000,array<integer>[1]
32766,100000,array<integer>[1]
32963,100000,array<integer>[1]
34382,100000,array<integer>[1]
31836,100000,array<integer>[1]
35085,100000,array<integer>[1]
25368,100000,array<integer>[1]
25162,100000,array<integer>[1]
25096,100000,array<integer>[1]
24985,100000,array<integer>[1]
25182,100000,array<integer>[1]
25366,100000,array<integer>[1]
25220,100000,array<integer>[1]
25133,100000,array<integer>[1]
25908,100000,array<integer>[1]
25036,100000,array<integer>[1]
25100,100000,array<integer>[1]
25164,100000,array<integer>[1]
25378,100000,array<integer>[1]
26410,100000,array<integer>[1]
29131,100000,array<integer>[1]
25257,100000,array<integer>[1]
25224,100000,array<integer>[1]
25507,100000,array<integer>[1]
32994,100000,array<integer>[1]
29623,100000,array<integer>[1]
25179,100000,array<integer>[1]
25795,100000,array<integer>[1]
25559,100000,array<integer>[1]
24994,100000,array<integer>[1]
25335,100000,array<integer>[1]
25163,100000,array<integer>[1]
25245,100000,array<integer>[1]
25323,100000,array<integer>[1]
25242,100000,array<integer>[1]
25280,100000,array<integer>[1]
25240,100000,array<integer>[1]
25193,100000,array<integer>[1]
25583,100000,array<integer>[1]
25830,100000,array<integer>[1]
25582,100000,array<integer>[1]
25893,100000,array<integer>[1]
25487,100000,array<integer>[1]
25650,100000,array<integer>[1]
25011,100000,array<integer>[1]
25451,100000,array<integer>[1]
25636,100000,array<integer>[1]
25522,100000,array<integer>[1]
25334,100000,array<integer>[1]
25205,100000,array<integer>[1]
25323,100000,array<integer>[1]
25132,100000,array<integer>[1]
25376,100000,array<integer>[1]
24672,100000,array<integer>[1]
25579,100000,array<integer>[1]
25765,100000,array<integer>[1]
26072,100000,array<integer>[1]
25650,100000,array<integer>[1]
25019,100000,array<integer>[1]
25363,100000,array<integer>[1]
25173,100000,array<integer>[1]
25006,100000,array<integer>[1]
25529,100000,array<integer>[1]
25282,100000,array<integer>[1]
28845,100000,array<integer>[1]
25369,100000,array<integer>[1]
24990,100000,array<integer>[1]
25347,100000,array<integer>[1]
25070,100000,array<integer>[1]
25119,100000,array<integer>[1]
25330,100000,array<integer>[1]
25968,100000,array<integer>[1]
25445,100000,array<integer>[1]
25181,100000,array<integer>[1]
25449,100000,array<integer>[1]
25803,100000,array<integer>[1]
25784,100000,array<integer>[1]
25537,100000,array<integer>[1]
25257,100000,array<integer>[1]
25045,100000,array<integer>[1]
25802,100000,array<integer>[1]
25596,100000,array<integer>[1]
25104,100000,array<integer>[1]
25417,100000,array<integer>[1]
25665,100000,array<integer>[1]
25764,100000,array<integer>[1]
26556,100000,array<integer>[1]
25335,100000,array<integer>[1]
25391,100000,array<integer>[1]
25244,100000,array<integer>[1]
27545,100000,array<integer>[1]
24960,100000,array<integer>[1]
25204,100000,array<integer>[1]
25355,100000,array<integer>[1]
25582,100000,array<integer>[1]
27697,100000,array<integer>[1]
25062,100000,array<integer>[1]
25185,100000,array<integer>[1]
25529,100000,array<integer>[1]
25404,100000,array<integer>[1]
25100,100000,array<integer>[1]
25348,100000,array<integer>[1]
26163,100000,array<integer>[1]
25483,100000,array<integer>[1]
25378,100000,array<integer>[1]
25322,100000,array<integer>[1]
25959,100000,array<integer>[1]
25772,100000,array<integer>[1]
25547,100000,array<integer>[1]
25226,100000,array<integer>[1]
28010,100000,array<integer>[1]
25097,100000,array<integer>[1]
25680,100000,array<integer>[1]
25298,100000,array<integer>[1]
25543,100000,array<integer>[1]
25894,100000,array<integer>[1]
25879,100000,array<integer>[1]
25125,100000,array<integer>[1]
25464,100000,array<integer>[1]
25435,100000,array<integer>[1]
24927,100000,array<integer>[1]
25587,100000,array<integer>[1]
25072,100000,array<integer>[1]
25553,100000,array<integer>[1]
25645,100000,array<integer>[1]
25605,100000,array<integer>[1]
25472,100000,array<integer>[1]
25246,100000,array<integer>[1]
24885,100000,array<integer>[1]
25263,100000,array<integer>[1]
25494,100000,array<integer>[1]
25451,100000,array<integer>[1]
25371,100000,array<integer>[1]
25845,100000,array<integer>[1]
26115,100000,array<integer>[1]
25523,100000,array<integer>[1]
25692,100000,array<integer>[1]
25038,100000,array<integer>[1]
25545,100000,array<integer>[1]
25079,100000,array<integer>[1]
25818,100000,array<integer>[1]
26502,100000,array<integer>[1]
25932,100000,array<integer>[1]
25460,100000,array<integer>[1]
28324,100000,array<integer>[1]
25103,100000,array<integer>[1]
26287,100000,array<integer>[1]
24907,100000,array<integer>[1]
24923,100000,array<integer>[1]
29053,100000,array<integer>[1]
25670,100000,array<integer>[1]
27087,100000,array<integer>[1]
25025,100000,array<integer>[1]
25047,100000,array<integer>[1]
25474,100000,array<integer>[1]
25262,100000,array<integer>[1]
25303,100000,array<integer>[1]
26858,100000,array<integer>[1]
25892,100000,array<integer>[1]
25611,100000,array<integer>[1]
25470,100000,array<integer>[1]
25196,100000,array<integer>[1]
25967,100000,array<integer>[1]
25146,100000,array<integer>[1]
25449,100000,array<integer>[1]
25124,100000,array<integer>[1]
25735,100000,array<integer>[1]
25437,100000,array<integer>[1]
25416,100000,array<integer>[1]
26061,100000,array<integer>[1]
25337,100000,array<integer>[1]
24976,100000,array<integer>[1]
25127,100000,array<integer>[1]
25063,100000,array<integer>[1]
26727,100000,array<integer>[1]
25265,100000,array<integer>[1]
24959,100000,array<integer>[1]
24830,100000,array<integer>[1]
24899,100000,array<integer>[1]
26539,100000,array<integer>[1]
27925,100000,array<integer>[1]
25871,100000,array<integer>[1]
25873,100000,array<integer>[1]
25280,100000,array<integer>[1]
25458,100000,array<integer>[1]
26155,100000,array<integer>[1]
25273,100000,array<integer>[1]
26038,100000,array<integer>[1]
25579,100000,array<integer>[1]
25425,100000,array<integer>[1]
25207,100000,array<integer>[1]
25349,100000,array<integer>[1]
25654,100000,array<integer>[1]
26252,100000,array<integer>[1]
26761,100000,array<integer>[1]
25625,100000,array<integer>[1]
25520,100000,array<integer>[1]
25069,100000,array<integer>[1]
28846,100000,array<integer>[1]
26293,100000,array<integer>[1]
25341,100000,array<integer>[1]
25215,100000,array<integer>[1]
25830,100000,array<integer>[1]
27501,100000,array<integer>[1]
25927,100000,array<integer>[1]
25159,100000,array<integer>[1]
25434,100000,array<integer>[1]
25176,100000,array<integer>[1]
27692,100000,array<integer>[1]
25203,100000,array<integer>[1]
31543,100000,array<integer>[1]
33499,100000,array<integer>[1]
28655,100000,array<integer>[1]
25505,100000,array<integer>[1]
25519,100000,array<integer>[1]
25299,100000,array<integer>[1]
25635,100000,array<integer>[1]
25356,100000,array<integer>[1]
25790,100000,array<integer>[1]
25360,100000,array<integer>[1]
25735,100000,array<integer>[1]
25495,100000,array<integer>[1]
30367,100000,array<integer>[1]
25267,100000,array<integer>[1]
25346,100000,array<integer>[1]
25543,100000,array<integer>[1]
25737,100000,array<integer>[1]
25474,100000,array<integer>[1]
25620,100000,array<integer>[1]
25534,100000,array<integer>[1]
25418,100000,array<integer>[1]
25543,100000,array<integer>[1]
25480,100000,array<integer>[1]
25600,100000,array<integer>[1]
25760,100000,array<integer>[1]
