elapsed.ps,repeats.n,param.a.integer,param.b.integer
18930,100000,-4251113396610191,7612162447558844
19383,100000,4642808914482440,2267732572591201
19094,100000,-4909286016814026,7003198854873009
18894,100000,-6810154757085946,-1983554598851226
18882,100000,4112884245155096,3955531066626236
18811,100000,2156492074635321,2890094728770714
18920,100000,8573733140167800,-710155975567988
19136,100000,-1190211047113634,471029546385387
18947,100000,-3922460147888233,-2912879790867219
20752,100000,-8494061665209928,2279387546240745
18993,100000,2320471983571483,6659996864987404
18858,100000,-8192200449848698,1361210312334731
19018,100000,8895897611649605,-1351219602903376
20432,100000,4884805378818233,1236843919506484
19093,100000,-4997249160458121,-5082599256287936
18917,100000,3946581588690793,6414226424533164
18925,100000,1672569064528778,8221057437607861
19082,100000,-704154734484431,-5841557303002723
18833,100000,8109150751000481,-2465900124136421
21883,100000,1302658911335360,6538908900176421
19007,100000,7635639084324268,-8396533872693695
18926,100000,7802937704918727,-5660849365279793
18989,100000,-3681562805375062,-948529725810845
18774,100000,1349622765130521,-8223974836792173
19040,100000,-5819152002580584,8166941900072716
19254,100000,-7011627479720768,5476650941451891
18929,100000,-1889173246898376,-8833513993453089
18676,100000,4670209951187124,8105953805396715
18900,100000,-697603216486714,6446584738751832
21867,100000,759375216195965,-5012478089590888
18917,100000,808052415877381,-8749199663959090
22811,100000,-3646403720011229,1246787250820760
19196,100000,-4751547765473746,6508620261348789
18813,100000,7457515158886297,7642158704403524
18973,100000,-1086590248450613,-7337250560668157
18859,100000,-8933455128229928,6224372496240602
18874,100000,-7533120494302180,-4578471620536962
22393,100000,-7810391494480197,4425946025965186
19033,100000,4480642519615497,-143613618644836
22784,100000,-1590905572364374,-4210858593239744
18979,100000,-3666331557127039,-1179114864288729
18727,100000,29317707455708,6945435111254522
19016,100000,2269579253915632,-7999366894170068
18660,100000,6902513744043756,6286425943364783
18888,100000,6762433262382598,2467178520336340
18876,100000,533712251165969,8016325578165970
18845,100000,248766274144697,-2652746300069673
18768,100000,7173843003262862,4656779415874952
18825,100000,-1877954184907622,-7205443300241705
25199,100000,-8900602256852257,-5590830572664301
18693,100000,-1878864401499768,8692125635542207
20393,100000,-7755121031836101,7271869909670165
18908,100000,4015771054290316,-1574848822736883
19100,100000,12878968498408,-7649363469395013
18874,100000,2182819400499886,4877857128669408
20912,100000,-7686700854434870,8779471623279131
19347,100000,2413583101174984,2092100969811891
20516,100000,8083264867348803,826358293173277
18985,100000,8306634182993071,-1152577832700277
20350,100000,-877278674085382,-1856025801185102
19164,100000,-4864312055633359,-5111802879882953
19066,100000,3766022293068707,-6064110152562293
18943,100000,-7570910898432812,-1638937027738215
18889,100000,1061424616345723,-3064227995261748
19046,100000,-6743215097746641,5505973605153330
18968,100000,2716256713772274,-671868140122130
18828,100000,5481803302531788,6336194006350134
19088,100000,5878122046273818,-6561988188707998
18898,100000,-3090213089150269,6085825533520568
21894,100000,-2910494913608041,1584737571027321
18702,100000,-6742860658759782,8241334006582694
18798,100000,-4655788031539787,-1290046155265021
18891,100000,-5050916526710265,-1053029893110971
20302,100000,1825631010204317,3897324685405225
19219,100000,695354498524421,6280838276060919
19091,100000,-8874924755139715,-1291653956681214
19118,100000,4493893709825035,217460189042294
18789,100000,-1163054145444577,-5508688849489523
18838,100000,543308725667058,7275474063634754
20771,100000,-6188486242674416,8615471906743299
18769,100000,-7158441907919960,1711190632049944
18756,100000,-6304747649105355,2206694222386142
18804,100000,-1023803370845052,-2029765331429675
18766,100000,-6557439423524614,6294794305683143
18747,100000,6331603293492080,3325944129885192
18798,100000,-8859411469491372,2199467225085400
19099,100000,4068315518763526,6989473349016489
18810,100000,-5460531389249466,-6119352546003531
19333,100000,-2769062393068109,-3376737009908184
22563,100000,1186000089186385,-787648165509981
19127,100000,-5425028343924391,4724197738769714
19625,100000,-8287055383628339,-2808109895705075
20377,100000,5052198126192542,7425098074082354
18905,100000,-3075002265582321,-1628200454329961
18766,100000,4548977142475790,-7211863694629002
19128,100000,2975551838929251,4125175669788399
19087,100000,5415045803050983,2732623060875565
19271,100000,8843791534711819,8388736727524830
20150,100000,4293844419424680,-6525504538150402
20115,100000,1657940344167389,3545789119842505
18890,100000,2894867043428604,-3789240045381769
18750,100000,3978242691551550,-4937836642788055
18898,100000,-6031463360790982,3680382666211884
18777,100000,-3164095582928435,3598039608287214
