runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
3,3365,23229,250000,1568403785,20
3,3289,23104,250000,2757744888,30
3,3272,22391,250000,895288142,11
3,3380,22411,250000,335863408,30
3,3383,22429,250000,1897487031,24
3,3283,22704,250000,1558163738,5
3,3415,23036,250000,3899960664,29
3,3341,22752,250000,4205725957,3
3,3256,23051,250000,3905928487,31
3,3317,22990,250000,719111939,1
3,3387,22854,250000,1649382267,4
3,3271,22727,250000,3868999810,22
3,3274,22819,250000,1436718711,22
3,3273,22500,250000,3170848072,7
3,3361,24057,250000,1768819257,17
3,3317,23345,250000,991882510,5
3,3402,23178,250000,344886513,27
3,3280,22572,250000,702987828,25
3,3273,22767,250000,3230062797,28
3,3320,23129,250000,2826934136,23
3,3287,22939,250000,163022507,13
3,3271,23104,250000,3401074562,21
3,3382,22831,250000,3534259430,8
3,3292,23314,250000,3169189061,15
3,3275,22681,250000,827907567,12
3,3288,23288,250000,2162963964,10
3,3276,23676,250000,12845115,15
3,3280,23485,250000,2123426805,29
3,3279,22396,250000,3491613982,1
3,3288,22929,250000,1719756022,7
3,3280,22771,250000,1826715956,29
3,3274,23870,250000,1061518462,29
3,3270,23286,250000,44553105,8
3,3266,23263,250000,3001786332,7
3,3364,22464,250000,1272263500,26
4,3756,29035,250000,1129380123,25
4,4347,27500,250000,725483066,20
4,4496,27911,250000,3617920359,6
4,3958,28430,250000,736646054,8
4,4013,28695,250000,3270933103,30
4,4351,28074,250000,3133507220,24
4,3860,28014,250000,1063864112,4
4,4003,27671,250000,2800086392,28
4,4306,28681,250000,2536267153,3
4,4267,28674,250000,100355389,20
4,4226,29588,250000,1926701666,9
4,4172,27611,250000,3480203188,11
4,3829,27313,250000,2249183111,1
4,4085,28426,250000,1631753479,11
4,3942,30200,250000,2581575330,17
4,3827,30625,250000,768061827,0
4,4004,28082,250000,1958537946,29
4,3905,28722,250000,3780791109,3
4,4025,27837,250000,2072397679,17
4,4061,28233,250000,1627846712,16
4,3814,29579,250000,552673986,16
4,4075,27375,250000,592308130,13
4,3829,27507,250000,526728869,6
4,4022,28567,250000,2883504029,31
4,4085,27487,250000,1936964200,2
4,3994,29517,250000,364267547,0
4,3902,29943,250000,698324982,3
4,4136,31552,250000,891622805,21
4,3988,29679,250000,197228267,8
4,4021,31601,250000,4158685148,17
4,3996,31099,250000,1593918286,19
4,3893,28339,250000,2529120567,26
4,3737,28534,250000,3416386996,17
4,3799,27985,250000,427540326,6
4,4083,28737,250000,1805575462,31
4,4378,32886,250000,3208631316,28
4,4258,29382,250000,4274145267,6
4,3984,29053,250000,3559755798,28
4,3956,30572,250000,1702309456,30
4,4078,30417,250000,2440480593,5
4,4176,29366,250000,652904749,11
4,3961,30032,250000,2403027143,3
4,3836,28359,250000,595609890,2
4,3807,27367,250000,2826688262,24
4,3825,30465,250000,629224386,29
4,4031,29780,250000,1123382527,8
4,3814,27217,250000,3060143468,25
4,4039,27208,250000,2965104198,26
4,4097,36703,250000,1732380017,3
4,3988,29765,250000,4057386146,27
4,4141,27283,250000,1401339700,21
4,3916,28612,250000,920185219,14
4,3924,28540,250000,3197557086,10
4,4154,28065,250000,2114417878,27
4,3846,29182,250000,244520126,20
4,3774,27144,250000,1505786256,16
4,4143,27403,250000,4121875852,26
4,4429,28722,250000,4083824071,1
4,3844,29123,250000,831580582,20
4,3816,28018,250000,1459777120,1
4,3815,28043,250000,2351496412,12
4,4278,29177,250000,1377267260,10
4,3848,27729,250000,151540022,0
4,3789,27931,250000,4072126961,21
4,4006,27863,250000,3926322321,21
4,4018,28091,250000,46872171,23
4,3792,28958,250000,1596153601,19
4,3857,30017,250000,3847056996,8
4,3981,28828,250000,2961411670,16
4,3744,27319,250000,3931584091,22
4,3829,31406,250000,1057430732,13
4,4034,30699,250000,2641558694,9
4,4084,27183,250000,3176183435,10
4,3935,29185,250000,157938027,10
4,3777,28277,250000,809180214,26
4,4026,28460,250000,2377993975,12
4,3820,29361,250000,2087220599,22
4,3960,27933,250000,1507260982,17
4,4368,28349,250000,1985991054,9
4,3942,28504,250000,3440153687,7
4,3815,30062,250000,3300709027,11
4,4106,27838,250000,385725782,15
4,3762,27140,250000,4089007901,6
4,4048,30846,250000,3714872245,29
4,3765,29421,250000,2816851800,3
4,3863,28290,250000,1410257742,17
4,3801,27893,250000,3309716295,6
4,3972,28132,250000,472576599,9
4,3784,28468,250000,1840742736,15
4,4134,28671,250000,2780995394,24
4,3887,28641,250000,2797275070,31
4,3876,28607,250000,2210415395,23
4,3752,28069,250000,945394458,9
4,3903,29300,250000,472079789,4
4,3901,31195,250000,4183984152,21
4,3977,29893,250000,2136013244,28
4,3876,28022,250000,2397583695,13
4,3780,27126,250000,1748158575,15
4,3843,30068,250000,2678621622,8
4,3687,29104,250000,556536198,29
5,3278,22561,250000,3609954936,18
5,3402,22731,250000,349227476,19
5,3247,22802,250000,4248376770,10
5,3404,22756,250000,1032113314,22
5,3270,22533,250000,1290862429,16
5,3246,22463,250000,2889847215,22
5,3361,22509,250000,1389836139,21
5,3389,22460,250000,1057680205,28
5,3250,22584,250000,2956325603,26
5,3281,22921,250000,1197302302,3
5,3281,23105,250000,1008991866,28
5,3252,23225,250000,2793862007,3
5,3383,22962,250000,4009265946,21
5,3304,23238,250000,1803584912,20
5,3250,22662,250000,615296475,26
5,3305,22403,250000,3641447569,28
5,3436,22437,250000,2754222500,19
5,3246,22448,250000,1568974308,15
5,3351,22194,250000,711988274,13
5,3270,22397,250000,2944804108,17
5,3247,22493,250000,2951527011,25
5,3272,22250,250000,65492562,27
5,3276,22280,250000,1213315388,0
5,3348,22559,250000,3243324150,11
5,3281,23491,250000,90981372,23
5,3344,28555,250000,2346049220,16
5,3248,23986,250000,3776331638,12
5,3274,23467,250000,4145945042,6
5,3371,24034,250000,1740279225,28
5,3248,24492,250000,865993338,21
5,3377,22398,250000,2288140024,4
5,3352,22431,250000,3198777580,11
5,3255,23131,250000,4009058690,22
5,3415,24106,250000,1741888218,5
5,3276,23754,250000,1053596157,30
5,3336,23979,250000,1874879608,20
5,3354,23440,250000,1314549649,24
5,3272,23712,250000,1880053380,9
5,3258,22508,250000,2889856217,4
5,3274,22538,250000,1696317358,18
5,3276,23174,250000,3033250923,9
5,3470,22754,250000,1560206872,3
5,3276,22854,250000,1515416653,23
5,3283,22766,250000,2378649472,5
5,3247,22423,250000,3948779232,22
5,3288,22749,250000,2146419011,2
5,3268,22360,250000,2415226443,21
5,3267,24449,250000,2154228172,25
5,3271,24349,250000,1250690150,18
5,3349,23496,250000,632337974,26
5,3246,25848,250000,3061200351,21
5,3267,23685,250000,3066123600,30
5,3353,23958,250000,2486161945,22
5,3256,23688,250000,1723195636,24
5,3277,23228,250000,1062592053,16
5,3278,23800,250000,3719876335,8
5,3248,22344,250000,3853152039,13
5,3276,22495,250000,303750331,7
5,3377,22525,250000,4015106321,8
5,3256,22814,250000,1462812651,19
5,3283,22585,250000,4061482868,4
5,3273,22816,250000,661902586,26
5,3247,22709,250000,1057440611,27
5,3277,24296,250000,2897112862,1
5,3275,24184,250000,1440838117,15
5,3252,23860,250000,822633490,20
5,3280,24953,250000,1841510486,15
5,3299,24592,250000,2870330931,21
5,3297,24854,250000,171565548,13
5,3278,23527,250000,11302031,7
5,3353,24575,250000,1217402063,23
5,3263,22584,250000,3518112786,27
5,3269,22711,250000,3326106163,23
5,3288,22221,250000,1623545846,7
5,3273,22658,250000,3745718786,12
5,3348,22460,250000,2509588868,16
5,3266,22602,250000,1820216590,6
5,3267,22418,250000,2795151309,23
5,3271,22368,250000,1644141161,14
5,3274,22494,250000,4039667784,26
5,3272,22790,250000,791616352,17
5,3352,22371,250000,4137887556,1
5,3280,23766,250000,2292910626,25
5,3438,23438,250000,3317821590,4
5,3350,24621,250000,2135191529,13
5,3274,25318,250000,3715373540,26
5,3410,22764,250000,1941239599,13
5,3381,22595,250000,2093195884,2
5,3408,22539,250000,1743913822,31
5,3442,22505,250000,4288591044,8
5,3271,22386,250000,2865021067,7
5,3395,23030,250000,569024225,3
5,3348,22510,250000,702855940,12
