runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.integer,param.disp.integer
7,3589,25550,250000,1940444868,4
7,3648,26746,250000,906820528,20
7,3517,26926,250000,1463429605,22
7,3512,25135,250000,1889526277,15
7,3491,26021,250000,925978015,31
7,3414,27635,250000,3353268983,30
7,3496,25909,250000,3742863963,14
7,3472,25152,250000,4119907575,23
7,3529,24725,250000,3951092212,21
7,3464,25731,250000,1608672644,2
7,3435,27480,250000,4280785736,13
7,3481,25016,250000,1098083946,25
7,3424,26269,250000,1103817903,28
7,3385,23441,250000,1080747173,19
7,3412,23391,250000,1800774355,30
7,3410,25927,250000,2138301009,3
7,3371,23613,250000,2385158165,18
7,3442,24116,250000,383876741,17
7,3469,23552,250000,2913777748,12
7,3421,24895,250000,3247205086,24
7,3529,24049,250000,2032398928,17
7,3592,24072,250000,1244809972,8
7,3502,23821,250000,3198020782,5
7,3446,24809,250000,4013279818,3
7,3471,25630,250000,1683682305,19
7,3402,24894,250000,3168823980,19
7,3473,24838,250000,3206536733,28
7,3436,25528,250000,2299987994,14
7,3587,25016,250000,2773719430,23
7,3568,26564,250000,289088423,14
7,3619,26934,250000,1682075032,13
7,3490,25796,250000,2827952486,17
7,3393,24731,250000,3291219349,19
7,3572,23991,250000,1975864389,1
7,3520,24698,250000,135825098,12
7,3498,24400,250000,3634096058,0
7,3400,24829,250000,3446901990,0
7,3582,25074,250000,3853625249,30
7,3533,24769,250000,2930906564,24
7,3488,24977,250000,2242718442,18
7,3488,30696,250000,164702297,11
7,3570,26231,250000,444594926,12
7,3548,28531,250000,1610981742,16
7,3633,25404,250000,1245528988,20
7,3425,26016,250000,3986962053,31
7,3545,24129,250000,2727289080,19
7,3409,23976,250000,790467192,31
7,3441,26743,250000,3196404118,25
7,3639,24821,250000,4133370606,16
7,3458,28272,250000,3242771208,6
7,3488,26113,250000,3446206098,13
7,3447,26884,250000,308839915,20
7,3439,27529,250000,3472121187,19
7,3516,25348,250000,4119596906,2
7,3483,28477,250000,504315600,13
8,3924,26107,250000,516433538,23
8,4129,25968,250000,1465851087,4
8,4001,26162,250000,1360672880,4
8,3946,25979,250000,1700897667,22
8,3945,27163,250000,1198142058,17
8,4005,26099,250000,2359527187,25
8,4073,25823,250000,464194283,4
8,4306,26024,250000,1733417367,19
8,4581,25969,250000,2108289263,0
8,4694,26046,250000,2334117752,19
8,4362,25867,250000,1575060813,3
8,4666,25900,250000,3311546805,14
8,3924,26070,250000,2854671293,5
8,4445,26035,250000,4025350272,22
8,3921,26223,250000,3460760427,22
8,3933,25889,250000,1196773636,15
8,3995,26038,250000,4257660142,12
8,3914,25865,250000,1825615360,4
8,3937,25800,250000,2542762251,22
8,3930,26203,250000,3422217266,10
8,4149,26140,250000,3409360588,20
8,3922,25854,250000,1878550893,9
8,3926,25930,250000,1629192529,16
8,4358,25963,250000,3661184329,3
8,3930,26015,250000,3765262436,31
8,3994,27776,250000,2017210166,21
8,3902,27085,250000,3741263674,5
8,3915,26613,250000,3168418267,0
8,3931,27145,250000,1433870870,25
8,3905,26746,250000,393574354,11
8,3922,27234,250000,3990046529,3
8,4123,26507,250000,1114688610,31
8,3921,26149,250000,3433140664,4
8,4697,26076,250000,2357565262,28
8,3916,26852,250000,827735182,10
8,3930,26444,250000,1689597529,2
