runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer
5,3248,21627,250000,1917205799
5,3310,21886,250000,896936408
5,3246,21503,250000,894409318
5,3293,21364,250000,2619828546
5,3273,21178,250000,2899617241
5,3248,21211,250000,1524104262
5,3284,21282,250000,3208245346
5,3279,21469,250000,1125899498
5,3245,21421,250000,2416676681
5,3271,21558,250000,1185325421
5,3270,21453,250000,794411656
5,3282,25590,250000,259906778
5,3286,21477,250000,2776617563
5,3275,21448,250000,619492382
5,3251,21960,250000,3333127456
5,3279,21581,250000,830878930
5,3305,21982,250000,3191102948
5,3276,31414,250000,824571929
5,3279,21538,250000,1753662434
5,3323,22943,250000,2984691772
5,3248,21343,250000,1251929159
5,3363,21534,250000,3903511593
5,3281,21336,250000,3281402068
5,3248,21370,250000,2642990343
5,3277,21340,250000,2119088253
5,3270,21425,250000,4154608478
5,3269,21269,250000,734117627
5,3274,21258,250000,2257729309
5,3282,21255,250000,2604581444
5,3287,21569,250000,3220054563
5,3280,22312,250000,1357080474
5,3274,22597,250000,2352198258
5,3276,22262,250000,3420507642
5,3279,21502,250000,1956208236
5,3275,21548,250000,3051560803
5,3269,21357,250000,2577677420
5,3273,21502,250000,545185797
5,3278,21452,250000,2355532691
5,3266,21286,250000,4197163359
5,3284,21335,250000,607876777
5,3286,21387,250000,139412703
5,3281,22426,250000,1361768841
5,3267,21648,250000,3555843398
5,3270,21375,250000,416685439
5,3269,22005,250000,1594679487
5,3290,22165,250000,4161327948
5,3306,21437,250000,384116022
5,3272,21315,250000,2236334756
5,3268,21473,250000,1828659294
5,3291,21563,250000,2249460193
5,3275,21479,250000,2317914749
5,3283,21635,250000,413589133
5,3283,21331,250000,2755733794
5,3270,21501,250000,3699922712
5,3274,21491,250000,828242348
5,3275,22394,250000,1803877110
5,3271,21528,250000,3944594561
5,3278,21234,250000,1130552665
6,3245,24412,250000,3041958902
6,3266,24219,250000,3017983708
6,3266,24388,250000,3222643864
6,3244,24873,250000,888231470
6,3262,24668,250000,379709142
6,3265,24171,250000,3036266904
6,3245,24401,250000,1443111134
6,3265,24163,250000,2349655120
6,3269,24138,250000,2011611513
6,3263,24164,250000,3125521229
6,3264,24181,250000,3792765678
6,3275,24403,250000,2634804851
6,3246,24300,250000,128228178
6,3265,24246,250000,3492831306
6,3268,24249,250000,596095589
6,3265,24265,250000,2024420386
6,3271,24263,250000,2841971424
6,3268,24117,250000,2909386742
6,3263,24225,250000,2090083170
6,3268,24323,250000,935296141
6,3275,24263,250000,2627562312
6,3270,24504,250000,1945456845
6,3267,24249,250000,2248626225
6,3269,24226,250000,2293253348
6,3280,24292,250000,2537055503
6,3276,24252,250000,2776621492
6,3275,24165,250000,963164879
6,3283,24415,250000,1324857925
6,3273,24333,250000,4005152210
6,3297,24368,250000,2151761099
