runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.b.buffer,param.offset.integer,param.value.float
1,3412,25228,10000,Buffer[694],51,-165064329.1268437
1,7178,36634,10000,Buffer[620],20,-455490381.9624857
1,3384,25763,10000,Buffer[891],43,523953851.11739254
1,3516,31621,10000,Buffer[692],33,275367713.66115093
1,4276,25139,10000,Buffer[686],88,-1899172938.0230901
1,3538,25734,10000,Buffer[923],48,-1790494354.973515
1,3472,32331,10000,Buffer[529],58,1215692843.2300625
1,6720,25427,10000,Buffer[689],74,2091931829.1334271
1,3390,25568,10000,Buffer[544],86,1327705685.7823415
1,3461,25196,10000,Buffer[958],9,1684012052.8651073
1,4034,25860,10000,Buffer[762],34,1700628615.3110232
1,3386,24801,10000,Buffer[737],74,-1576512120.6889634
1,3451,25256,10000,Buffer[895],123,-55864057.15007043
1,6429,26745,10000,Buffer[693],55,-1519112332.9248738
1,3382,24599,10000,Buffer[860],11,-179933759.6983403
1,3411,29702,10000,Buffer[831],99,483082113.5099454
1,6996,26036,10000,Buffer[617],69,-2077420357.1316464
1,3396,26866,10000,Buffer[786],89,274161405.59025383
1,3396,25702,10000,Buffer[658],31,-233344144.0317613
1,3535,28054,10000,Buffer[704],39,701913178.287055
1,3447,27699,10000,Buffer[975],34,-1569674564.4557908
1,3514,32520,10000,Buffer[706],121,1101913690.8003125
1,4092,25400,10000,Buffer[850],87,-566798137.618496
1,3444,24992,10000,Buffer[513],63,-372986847.5293014
1,3718,26491,10000,Buffer[1018],83,-2050280574.669171
1,8706,25893,10000,Buffer[906],58,-211438233.64368093
1,3467,26466,10000,Buffer[983],55,750635434.7805347
1,3461,25436,10000,Buffer[534],75,-1888967787.596824
1,4137,29001,10000,Buffer[614],17,-1384414235.3447323
1,3446,25234,10000,Buffer[828],23,-924668426.6952137
1,3413,24824,10000,Buffer[648],94,1360167904.110644
1,6763,24770,10000,Buffer[790],35,2063347895.6668487
1,3451,29182,10000,Buffer[555],80,-1276355363.4753034
1,3437,26302,10000,Buffer[707],22,1730365013.0969634
1,4241,26065,10000,Buffer[793],53,-228074530.42386842
1,3438,26254,10000,Buffer[719],0,13413138.266750574
1,3412,25063,10000,Buffer[893],21,965465100.6977994
1,6567,28355,10000,Buffer[562],69,1785214791.6863146
1,3409,30484,10000,Buffer[763],3,1493315109.033627
1,3415,27642,10000,Buffer[988],6,517874776.25594974
1,4117,25605,10000,Buffer[889],99,327896505.1358831
2,3506,25966,10000,Buffer[916],28,1337134676.6182265
2,3532,25654,10000,Buffer[767],18,-532698234.6601466
2,3536,34690,10000,Buffer[663],74,-1464790548.3712924
2,5888,27535,10000,Buffer[884],14,-1224909087.8909044
2,3558,32245,10000,Buffer[626],7,2060070948.9740129
2,3522,29346,10000,Buffer[956],17,-133584486.1999327
2,3570,30671,10000,Buffer[552],119,301601522.33930707
2,3462,26204,10000,Buffer[1018],116,-1131858386.667562
2,3553,32423,10000,Buffer[585],90,-1268723165.9943163
2,3654,38840,10000,Buffer[656],6,-1021901093.573574
2,3524,28760,10000,Buffer[990],98,686453619.2065375
2,3464,26414,10000,Buffer[1013],41,613588094.167352
2,3558,32427,10000,Buffer[642],94,1656670785.4251807
2,3566,32749,10000,Buffer[992],107,-1291173714.4611683
2,3591,30088,10000,Buffer[618],2,-173932585.30774415
