runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.integer
5,3962,26974,250000,7534462988775607
5,3916,27088,250000,1678861035617508
5,3946,27164,250000,7727283083555589
5,3971,26796,250000,2932859660549698
5,3914,27016,250000,436268164362803
5,3919,26939,250000,354097504116125
5,3974,26923,250000,2621818443122790
5,4308,27787,250000,4668494662896755
5,4008,27031,250000,4784501520007610
5,3984,26844,250000,4682289586995957
5,4387,26971,250000,7967805741624235
5,4688,26894,250000,8996953251246147
5,3985,26984,250000,736054464093112
5,3914,26932,250000,520057877406363
5,3975,27449,250000,2781203835456274
5,4343,27049,250000,2472986176075530
5,3929,27066,250000,1505690601970221
5,3924,27289,250000,3622510003745255
5,4356,26767,250000,3610774006958063
5,4607,26767,250000,6121080377506640
5,4881,26737,250000,6834809080439104
5,4407,26709,250000,6417451073496272
5,3904,26727,250000,8417652208154655
5,4185,26772,250000,6064427864409231
5,4544,26807,250000,1274133693238795
5,3989,26795,250000,4557384509530427
5,3914,26751,250000,7821499338300933
5,3921,27119,250000,2067277939234682
5,3910,27015,250000,8354289436891255
5,3917,26995,250000,4277638479160296
6,3245,22963,250000,5793528939294206
6,3291,21708,250000,6978428054608853
6,3301,21662,250000,8707952138588634
6,3244,21749,250000,3479938850826825
6,3298,21865,250000,7801994869231469
6,3276,21751,250000,216792763561734
6,3300,24643,250000,4081082955664447
6,3297,23113,250000,3314430467967232
6,3279,25117,250000,5662735172372828
6,3246,21512,250000,3854849180690512
6,3277,21641,250000,4957946910218338
6,3334,21789,250000,3765290570813812
6,3245,21741,250000,5191371950041718
6,3272,21677,250000,1497305830019666
6,3296,22567,250000,5901238745641018
6,3259,22363,250000,8762154223111238
6,3295,23329,250000,932409455868136
6,3285,22065,250000,4021606665408965
6,3251,25425,250000,6932204371148940
6,3279,21683,250000,8098833066679029
6,3326,22657,250000,2292550888016809
6,3270,25794,250000,8184869296402264
6,3297,23731,250000,4219195286822975
6,3324,22428,250000,8577076044905360
6,3251,23693,250000,5984548610281391
6,3278,21800,250000,2642808084204075
6,3285,21799,250000,4344435422932305
6,3247,23768,250000,6416752340378808
6,3280,23812,250000,762087902668524
6,3286,21504,250000,4437661496633776
6,3245,21703,250000,7070040461399328
6,3289,21574,250000,6795219149654053
6,3277,21671,250000,6169196315183336
6,3258,21731,250000,8236029559558528
6,3276,21476,250000,7341084213902816
6,3383,23283,250000,556102955221198
6,3313,21789,250000,424012487442691
6,3277,21887,250000,772915830648748
6,3276,21655,250000,6006020992614909
6,3269,21514,250000,4481429785233041
6,3291,21640,250000,6935306885459881
6,3327,21625,250000,1550020050909213
6,3246,21606,250000,4507467605587050
6,3307,23281,250000,7909141014575269
6,3302,21485,250000,1401416493569125
6,3260,21845,250000,5881234203041872
6,3291,22021,250000,6839479474522076
6,3273,21765,250000,7541075238318120
6,3253,21654,250000,8991849832714731
6,3308,21508,250000,3760678296059203
6,3274,21899,250000,2622110046330318
6,3244,21929,250000,7857679127452680
6,3289,21988,250000,4489243822112655
6,3287,21985,250000,3093821460830885
6,3256,21785,250000,7878437997516431
6,3287,21800,250000,7500180868254731
6,3268,21924,250000,3861632362018119
6,3272,21984,250000,1834702502483689
6,3267,21864,250000,379227514320097
6,3278,21819,250000,1527677742013291
6,3245,22163,250000,7147108514354079
6,3273,21656,250000,2338413435234823
6,3279,22459,250000,4347301415993048
6,3244,22263,250000,1035535828049289
6,3265,22127,250000,1490571282680362
6,3272,22315,250000,2440211903996943
6,3349,22379,250000,7526207411928700
6,3339,22289,250000,4415140801545090
6,3282,22127,250000,1443170620660442
6,3363,22115,250000,507059662255688
6,3359,22287,250000,3445201851854360
6,3287,22032,250000,5136840627851538
6,3274,21716,250000,2717687209088489
6,3286,21542,250000,1154088725387245
6,3289,21613,250000,3720584660326862
6,3323,21514,250000,8255293724919042
6,3329,21423,250000,7916394690752531
6,3274,21656,250000,3355428870943350
6,3288,21718,250000,4712786272476827
6,3268,21497,250000,7445626379393462
6,3269,21593,250000,5211960789762001
6,3282,21593,250000,516888430740984
6,3298,21532,250000,7069912460572131
6,3270,21559,250000,566930173192840
6,3290,21471,250000,409545414579014
6,3269,21322,250000,7551743265403687
6,3283,21442,250000,2032195421848958
6,3321,21504,250000,2753591755198346
6,3289,23558,250000,1406373621907741
6,3317,23049,250000,5280812729375500
6,3293,23262,250000,6953861887955195
6,3265,21768,250000,5179466711725991
6,3304,23521,250000,6197636434303715
6,3295,23249,250000,4516676826074087
6,3289,23365,250000,9000161115979223
6,3306,22974,250000,5405475613622065
6,3290,23123,250000,7572594671472571
6,3277,22660,250000,3548923843118216
6,3299,22958,250000,1130390708562031
6,3326,21403,250000,338479953763714
7,3896,27752,250000,7910114445697015
7,3900,27817,250000,5547097288748688
7,4592,27832,250000,46971663688244
7,4129,27710,250000,8520444643027086
7,4361,27672,250000,1896361221299842
7,3923,27837,250000,2398854602459193
7,4174,27847,250000,451539932967578
7,4449,27921,250000,6045900553513048
7,3941,27964,250000,5466817125745076
7,4289,27820,250000,8401611127388027
7,4528,27707,250000,6209148616600174
7,4687,27840,250000,6043559765845617
7,4304,27772,250000,1248160868830192
7,4618,27834,250000,4892629658697529
7,4873,27810,250000,8054910761981974
7,4435,27601,250000,8988494797556876
7,3906,27807,250000,6436721975338278
7,4175,27754,250000,8694507565880393
7,4468,27710,250000,6353444571100355
7,3965,27771,250000,1117354549439825
7,4257,27750,250000,5317897793502886
7,4606,27714,250000,6043051302439382
7,3901,27778,250000,3966323542475951
7,4338,27715,250000,1374165516008377
7,4630,27769,250000,5683792658865350
7,4869,27808,250000,2254957765813561
7,4409,27867,250000,8385065224945763
7,3956,27810,250000,6711915902362957
7,3901,27804,250000,8211688622369949
7,4490,27750,250000,4963532555963122
7,3911,27814,250000,8122025915044905
7,4274,27777,250000,3769554753696990
7,3908,27842,250000,5009703502047512
7,3956,27698,250000,8238536813172952
7,4353,28029,250000,209528827100338
7,3907,27871,250000,8863710260037210
