elapsed.ps,repeats.n,param.array.array,param.index.integer
23218,100000,array<integer>[100],38
20516,100000,array<integer>[100],83
17822,100000,array<integer>[100],82
19491,100000,array<integer>[100],49
17826,100000,array<integer>[100],13
17502,100000,array<integer>[100],66
20798,100000,array<integer>[100],53
18223,100000,array<integer>[100],19
18281,100000,array<integer>[100],1
21780,100000,array<integer>[100],21
17546,100000,array<integer>[100],34
19550,100000,array<integer>[100],99
22315,100000,array<integer>[100],91
16671,100000,array<integer>[100],63
18737,100000,array<integer>[100],37
17363,100000,array<integer>[100],16
20787,100000,array<integer>[100],1
18891,100000,array<integer>[100],65
23748,100000,array<integer>[100],67
20655,100000,array<integer>[100],25
16904,100000,array<integer>[100],23
23288,100000,array<integer>[100],85
23676,100000,array<integer>[100],10
19692,100000,array<integer>[100],33
23556,100000,array<integer>[100],14
20466,100000,array<integer>[100],6
18588,100000,array<integer>[100],29
20444,100000,array<integer>[100],70
16653,100000,array<integer>[100],91
16940,100000,array<integer>[100],44
18382,100000,array<integer>[100],32
18314,100000,array<integer>[100],43
16606,100000,array<integer>[100],94
17511,100000,array<integer>[100],97
17818,100000,array<integer>[100],92
18858,100000,array<integer>[100],21
21550,100000,array<integer>[100],91
17116,100000,array<integer>[100],74
17730,100000,array<integer>[100],52
17837,100000,array<integer>[100],12
17264,100000,array<integer>[100],3
21065,100000,array<integer>[100],67
22094,100000,array<integer>[100],68
17718,100000,array<integer>[100],54
19150,100000,array<integer>[100],95
20771,100000,array<integer>[100],60
20746,100000,array<integer>[100],58
17603,100000,array<integer>[100],89
17313,100000,array<integer>[100],65
19073,100000,array<integer>[100],38
17500,100000,array<integer>[100],78
20166,100000,array<integer>[100],61
18925,100000,array<integer>[100],12
19643,100000,array<integer>[100],88
18124,100000,array<integer>[100],27
22463,100000,array<integer>[100],50
23590,100000,array<integer>[100],87
23151,100000,array<integer>[100],25
19561,100000,array<integer>[100],35
19443,100000,array<integer>[100],67
21507,100000,array<integer>[100],32
17971,100000,array<integer>[100],28
20258,100000,array<integer>[100],58
22588,100000,array<integer>[100],65
19293,100000,array<integer>[100],60
18358,100000,array<integer>[100],83
19053,100000,array<integer>[100],76
17429,100000,array<integer>[100],76
16905,100000,array<integer>[100],76
16949,100000,array<integer>[100],75
21876,100000,array<integer>[100],18
24265,100000,array<integer>[100],2
18334,100000,array<integer>[100],67
18104,100000,array<integer>[100],22
25373,100000,array<integer>[100],72
16951,100000,array<integer>[100],62
16806,100000,array<integer>[100],18
16888,100000,array<integer>[100],59
17496,100000,array<integer>[100],94
17689,100000,array<integer>[100],92
16641,100000,array<integer>[100],76
16481,100000,array<integer>[100],87
16319,100000,array<integer>[100],6
16992,100000,array<integer>[100],79
22615,100000,array<integer>[100],92
