elapsed.ps,repeats.n,param.a.vector2
56832,100000,-2.07545309e+37; 2.34098203e+37
57247,100000,2.00555427e+38; -2.08468549e+38
58045,100000,-9.40447568e+37; -2.47153124e+36
56032,100000,4.8862429e+37; -3.1088198e+38
56861,100000,-2.79887948e+37; 9.86158643e+37
57324,100000,1.84103189e+38; -2.1178886e+38
56864,100000,-2.26891386e+38; -3.34251372e+38
56164,100000,-1.81605856e+38; -2.73420856e+38
57731,100000,-1.01202835e+38; -1.9081121e+38
55771,100000,1.99985695e+38; 2.82624851e+38
59308,100000,2.07781583e+38; -2.15365197e+38
56436,100000,4.41058085e+37; -3.29166714e+38
56410,100000,-2.78722419e+37; 2.51002197e+37
56783,100000,1.78563089e+38; -2.16329504e+38
56272,100000,-2.45962068e+37; 1.51200161e+38
56445,100000,-2.43907557e+38; -2.04587588e+37
56213,100000,1.21840075e+38; -2.86729889e+38
57216,100000,3.02188777e+38; 2.16945359e+38
55775,100000,9.59138113e+37; 2.08672285e+38
56900,100000,-1.85245758e+38; 2.24385879e+38
57844,100000,-3.24585019e+38; 7.14068952e+37
57066,100000,1.08700735e+38; 1.59389278e+37
56543,100000,8.07232499e+37; -2.54103058e+38
57767,100000,3.23401221e+37; -8.05325598e+37
56296,100000,-3.01913529e+37; 7.31388913e+37
56270,100000,-2.15403693e+38; 9.05333545e+37
58314,100000,2.1330063e+38; 2.70172466e+38
57619,100000,2.44164738e+38; -2.59180941e+38
56431,100000,-2.30605774e+37; 6.28404153e+35
56093,100000,2.96250554e+38; -3.06579067e+37
56491,100000,7.03931449e+37; 1.1739839e+38
58379,100000,1.429818e+38; -2.29070163e+38
56880,100000,1.73676968e+37; -9.14385179e+37
57226,100000,-2.74056502e+37; 8.34831078e+37
56320,100000,-5.61536916e+37; -2.13991347e+38
57349,100000,6.07732538e+37; 3.13377953e+38
55610,100000,-2.44876366e+38; 1.07532661e+38
56631,100000,1.13006751e+38; -2.03550571e+38
57301,100000,-3.31209964e+38; -1.52829853e+38
57028,100000,-2.79054518e+38; 2.64328779e+38
55935,100000,-2.58335266e+38; -2.1422997e+38
58758,100000,1.59292112e+38; -1.41539507e+38
56399,100000,-8.72918198e+37; 6.69876269e+37
57149,100000,-1.48319836e+38; 1.49256224e+38
56075,100000,2.39366467e+38; -1.95706228e+38
56847,100000,-2.88011636e+38; -7.61651232e+37
56606,100000,1.26165015e+38; 1.84475188e+38
56288,100000,2.55058623e+38; -5.26692497e+37
56337,100000,-3.06943582e+38; -1.62931639e+38
55863,100000,-8.84110539e+37; 3.23560778e+38
57488,100000,-3.01225971e+38; -1.31543819e+38
58203,100000,1.75414914e+38; 2.03030084e+38
55945,100000,1.50006052e+37; 1.9643749e+38
57791,100000,2.04752284e+38; 1.80981381e+38
55298,100000,-1.79461579e+38; -3.17107828e+38
56656,100000,1.96744829e+38; -1.39586971e+38
57719,100000,-2.22928061e+38; -1.1775964e+38
56890,100000,2.06176332e+38; -2.78750181e+38
56691,100000,-7.80210296e+37; 7.99013255e+37
56911,100000,-1.84550294e+38; -1.64989299e+38
56911,100000,3.03939696e+38; 2.3479538e+38
58495,100000,-1.94952939e+38; 5.74727125e+37
55185,100000,3.2376563e+38; -1.88806639e+38
56902,100000,2.59984044e+38; 1.88049071e+38
56111,100000,2.92790476e+38; -2.03452628e+38
56757,100000,2.37976838e+38; 2.60353909e+37
55878,100000,-1.74371323e+38; 1.443399e+38
57894,100000,5.97920922e+37; -2.75729015e+38
56239,100000,-5.44903363e+37; 2.43856729e+38
57201,100000,3.06558723e+38; -1.32152484e+38
56826,100000,-4.57839091e+37; -2.07980919e+38
60031,100000,1.49275634e+38; 3.27676342e+38
57014,100000,-9.17684721e+37; 1.36766265e+38
55636,100000,-1.3822522e+38; -2.55690034e+38
58474,100000,8.47768872e+37; 1.19202206e+38
55638,100000,2.69761808e+38; 2.29611014e+38
57694,100000,-2.20909251e+38; 1.40552941e+38
57034,100000,1.60870865e+38; 5.30259869e+37
54947,100000,1.87376628e+38; -3.29146858e+38
58123,100000,-4.58839876e+37; -3.20466635e+38
55414,100000,-1.69767292e+37; 2.32574456e+38
57460,100000,-3.09566158e+37; -2.19993805e+38
57550,100000,2.86302133e+38; 2.15789424e+38
56659,100000,2.07975605e+38; -2.2558025e+38
56905,100000,2.27346097e+38; 2.47498152e+38
56314,100000,-8.25707645e+37; -2.89715637e+37
56753,100000,-1.81497507e+38; -3.38892535e+38
60513,100000,-1.94030738e+38; 3.33639249e+38
57032,100000,2.08381415e+38; -4.36934316e+37
55383,100000,-3.08339559e+38; -7.42601992e+37
57393,100000,1.74214378e+38; 1.52782128e+38
58669,100000,-2.6615379e+38; -1.74098566e+38
55456,100000,-1.98383607e+38; 6.01558319e+37
56433,100000,4.99931277e+37; -2.72215188e+38
57029,100000,-3.45584321e+37; 2.7872495e+38
55593,100000,2.22753937e+38; -2.97464111e+38
56604,100000,-2.87487356e+38; 1.99218188e+38
55669,100000,3.24036502e+38; 2.51686916e+38
56220,100000,-2.69034968e+38; 1.56409445e+38
56015,100000,1.38472858e+38; 5.623796e+37
55476,100000,-1.14871891e+38; -1.82017366e+38
57863,100000,2.65136993e+38; -1.62256374e+37
58361,100000,1.65072954e+38; -1.329889e+38
56369,100000,-2.48687756e+38; -1.65207234e+38
55177,100000,3.15759433e+38; 1.09572087e+38
58459,100000,-7.56571958e+37; 1.41242614e+38
55885,100000,-3.26588069e+37; -2.63237869e+38
58464,100000,-8.56220704e+37; 2.48623014e+38
56683,100000,-8.42694416e+37; -2.73153351e+38
55514,100000,-3.10086889e+38; -7.99972613e+37
58859,100000,-2.01494097e+38; -1.36971128e+38
59387,100000,-1.97233534e+38; -2.47756149e+37
55404,100000,-8.83833443e+36; -2.39102694e+38
56449,100000,1.76019817e+38; -1.18949365e+38
56096,100000,-2.93394461e+37; 2.66661358e+38
56036,100000,-7.80983626e+36; -1.87093161e+38
56142,100000,-3.35035145e+38; 2.61203199e+38
55203,100000,1.37411763e+38; 3.12317163e+38
56149,100000,8.88534018e+36; 3.40863666e+37
55676,100000,-2.59426277e+38; -1.09366616e+38
55376,100000,8.41158271e+35; -3.39121564e+38
68099,100000,1.04702159e+38; -1.40541816e+38
55826,100000,1.04032556e+38; -1.19505479e+38
56546,100000,2.80908452e+38; 1.19086355e+37
56393,100000,-1.56587058e+38; 2.03315559e+38
55269,100000,1.6317809e+38; 2.84323381e+37
56543,100000,1.04815563e+37; -2.33642447e+38
64163,100000,-1.35853233e+38; 1.01708993e+38
56395,100000,1.63482093e+38; -2.6977988e+38
57094,100000,-1.63189033e+38; -1.61311543e+37
56070,100000,2.45874768e+38; 2.99828751e+37
57063,100000,-2.29642066e+38; -2.61731738e+38
55681,100000,3.02219971e+38; -2.54557906e+37
55338,100000,2.76530575e+38; -9.79148535e+37
61589,100000,-1.77440701e+38; -2.51104993e+38
60532,100000,2.24097626e+38; -1.58786178e+38
55771,100000,2.02003754e+38; -1.49906853e+38
55612,100000,1.40712888e+38; -2.38734447e+38
54969,100000,-4.20317597e+37; 4.3745598e+37
55884,100000,8.09405962e+37; 2.97832825e+38
55256,100000,-1.21678353e+38; -3.47770562e+37
56433,100000,-1.98963197e+38; -3.09004883e+38
54782,100000,3.71491651e+37; 1.07861438e+38
56209,100000,-1.54899744e+38; 8.80075759e+37
56292,100000,1.54872018e+38; -3.35902482e+38
54823,100000,2.21634003e+38; -1.54670694e+38
56753,100000,-1.34258102e+38; 1.28622777e+38
55723,100000,-2.73692255e+37; -1.07015662e+38
55210,100000,-3.02616005e+38; 1.49457294e+38
56407,100000,2.84829047e+37; 1.70181282e+38
55286,100000,-9.50945743e+37; -1.39910931e+38
57848,100000,-2.96688917e+38; -2.21587029e+38
54845,100000,-2.47713713e+38; 1.04103057e+38
55698,100000,1.15002124e+38; -2.31903722e+37
55598,100000,-1.50162574e+38; -1.40066353e+37
55087,100000,2.55568644e+38; -1.58055585e+38
56363,100000,1.3163512e+38; 2.70191247e+38
56350,100000,-1.00042894e+38; -2.36403574e+36
55835,100000,-6.53422316e+37; 3.28475834e+38
55624,100000,8.32893449e+37; 4.63605482e+37
56469,100000,7.42918043e+37; 3.16066407e+38
57210,100000,-7.19789352e+37; -1.49765262e+38
57301,100000,3.77273e+37; 1.23073266e+38
56401,100000,-2.61245893e+38; -1.72764703e+37
55105,100000,2.32809428e+38; 3.10928893e+38
58015,100000,-3.38666244e+38; -7.0212904e+36
56064,100000,-3.15391632e+38; 1.06691214e+38
55195,100000,3.1097033e+38; -8.65977051e+37
55858,100000,1.63876961e+38; 1.92338881e+38
56727,100000,-1.36343256e+38; 1.69815362e+36
56861,100000,1.46568338e+38; -1.71966032e+38
58677,100000,-1.53292956e+37; 4.9530557e+37
54952,100000,-2.58615772e+38; -1.01769556e+38
55896,100000,1.00379947e+38; -1.88284144e+38
56510,100000,-1.94827513e+38; 2.41867795e+38
55643,100000,-4.52049985e+37; 1.20102228e+38
54834,100000,-2.75154089e+38; 1.62150918e+38
56273,100000,-1.18129662e+38; -3.17534651e+38
55913,100000,7.15552509e+37; 2.02571114e+38
55783,100000,1.67402592e+38; -1.76687067e+38
55492,100000,1.69580862e+38; -6.89677377e+37
58822,100000,-1.20041188e+38; 2.49556213e+37
55813,100000,5.95025355e+37; -2.89345996e+38
55346,100000,-3.06575213e+38; -3.20484403e+38
56406,100000,-1.95717586e+38; 2.60367645e+38
56370,100000,2.61226869e+38; -2.08684394e+38
56105,100000,-2.26680043e+38; -2.81633488e+38
56114,100000,-3.23672757e+38; 2.92188514e+38
