elapsed.ps,repeats.n,param.a.vector2,param.b.vector2,param.issigned.boolean
42940,100000,2.03045965e+38; 1.70476371e+38,-1.04758605e+38; -2.96101519e+38,true
44925,100000,-3.1826066e+38; 3.11729906e+38,1.94104282e+38; 3.10926682e+38,true
43409,100000,-2.92753643e+38; 2.90575678e+38,-3.34559563e+38; 3.12089574e+38,false
43582,100000,-1.77422427e+38; 1.77261121e+38,7.15280116e+37; -7.88727184e+37,false
46977,100000,2.94726189e+38; -5.16453075e+37,2.74176721e+38; 7.05160563e+36,false
43787,100000,2.57807782e+38; 1.34481675e+38,2.27375405e+38; 4.9185107e+37,false
43583,100000,-2.77466588e+38; 3.1041299e+38,-4.04017841e+37; 1.87037506e+38,false
45481,100000,1.5070021e+38; 3.357932e+38,-2.28095086e+38; -3.3360627e+38,false
43772,100000,-2.98705638e+38; -6.5953508e+37,-2.99649054e+38; 2.81132046e+38,false
43744,100000,-1.01535669e+38; -3.27734472e+38,2.09837753e+38; 2.18090412e+37,true
45026,100000,-1.24575148e+38; -2.11054153e+37,3.17987395e+38; 2.39015318e+37,true
43781,100000,-2.61324528e+38; -1.35273176e+38,2.90220431e+38; 3.6354262e+37,true
43875,100000,8.33058294e+37; -3.23089273e+38,-3.16240714e+38; 1.14727054e+38,false
43160,100000,9.86305184e+37; 1.54994584e+38,-8.30460625e+37; 1.96579872e+38,true
57365,100000,1.74698086e+37; -3.06067909e+38,2.43097214e+38; 2.78030216e+38,false
43500,100000,1.61213404e+38; 2.57450177e+37,-2.79215764e+38; -4.46963815e+37,false
48163,100000,-3.1432001e+38; -1.36680694e+38,1.92933744e+38; 1.68227538e+38,true
50111,100000,-1.5731191e+38; -1.35729084e+38,-2.83918484e+38; 4.30134537e+37,true
43448,100000,-2.94480589e+38; -8.10992199e+37,-3.26490977e+38; -1.3597008e+38,false
59113,100000,-1.67964567e+38; -3.19259974e+38,2.83102543e+38; 4.68795763e+36,true
42756,100000,-3.2624122e+38; 2.24384379e+38,-2.7661637e+38; -1.77070831e+38,true
43560,100000,-1.24620763e+38; 2.38912765e+37,-1.6341217e+38; -2.20609315e+38,false
48645,100000,-1.58082835e+38; 9.39768615e+37,1.63440605e+38; 1.78711759e+38,false
43201,100000,2.66549216e+38; -2.31453488e+38,-1.26203542e+38; 2.7207956e+38,true
43289,100000,-7.92773676e+37; 3.14003057e+38,2.48543e+38; -1.82385918e+38,false
44109,100000,-1.10811403e+38; 7.41600295e+37,4.90171382e+37; 3.3532494e+38,true
44895,100000,2.67841692e+38; 1.66678865e+38,1.25849989e+38; 1.80582487e+38,false
43112,100000,3.3617528e+38; -2.52926394e+38,-1.44375049e+38; -6.69094331e+37,true
44315,100000,1.73871484e+38; 6.65112438e+37,-2.6018344e+38; -1.70463349e+38,true
43586,100000,7.10164893e+37; -2.24562438e+38,1.06646989e+37; 7.09672182e+37,true
43994,100000,2.5265609e+38; -2.90953478e+38,1.7997369e+38; -4.74629586e+36,false
44558,100000,4.99112071e+37; 8.67752167e+37,2.10015042e+38; 2.41171186e+37,false
44270,100000,1.30427303e+38; 3.08953183e+38,-2.20556479e+38; 1.06947004e+37,true
43785,100000,7.76495065e+37; 7.37476121e+37,1.92914739e+38; -1.60914279e+38,true
43769,100000,3.06944758e+38; 2.43909443e+38,1.54192293e+38; -2.75020246e+37,true
53698,100000,2.82676653e+38; -1.67169993e+38,2.77108665e+38; -2.83628323e+38,false
44547,100000,2.43091271e+38; 3.24633636e+38,2.43161245e+38; 2.41014129e+38,true
43974,100000,-2.94305491e+38; 2.95204772e+38,-2.35535992e+38; 1.62361936e+38,false
60704,100000,-1.8604347e+37; -1.66080052e+37,-2.8365108e+38; -2.69908815e+38,false
42361,100000,1.91299669e+37; -3.19405703e+38,-1.4462196e+37; -2.36079155e+38,true
42258,100000,2.68846118e+38; -2.98802547e+38,-1.76253125e+38; -3.26142079e+38,true
42605,100000,1.04896809e+38; 2.05526423e+38,-2.29646812e+38; 1.89742489e+38,true
42674,100000,2.20865847e+38; 3.55547598e+37,2.16732272e+38; 2.62296563e+38,true
42784,100000,2.71316495e+38; 1.07695173e+38,3.29242225e+38; -1.65035594e+38,true
43506,100000,2.48796956e+38; 1.0345544e+38,2.92182572e+38; 3.38873186e+38,false
46595,100000,-9.45799488e+37; 3.09603559e+38,1.64938685e+38; -2.23636262e+38,true
43121,100000,4.39272827e+37; 1.24215237e+38,-2.73801603e+37; 2.20609051e+38,true
45067,100000,3.09817458e+38; 1.9924636e+38,-2.58753348e+38; 3.30832285e+38,true
43901,100000,2.52505331e+38; -2.94874575e+38,7.95872322e+37; -1.68179167e+37,true
44060,100000,3.19022305e+38; -5.39690733e+37,7.10663992e+37; 1.43030315e+38,false
45275,100000,-2.74781461e+38; -3.32295296e+38,-1.79589054e+38; 1.77740901e+38,true
44222,100000,2.43088736e+37; -1.32008205e+38,2.13702546e+38; -2.35952775e+38,true
43224,100000,-8.12815638e+37; 2.63133821e+38,-4.32844622e+37; -9.86715332e+36,true
43822,100000,5.43436032e+37; 2.56469934e+38,-2.98426288e+38; -2.13251972e+38,false
44273,100000,-2.04300148e+38; 8.13641893e+37,-3.27887705e+38; 6.91410965e+37,false
42789,100000,-2.52041128e+38; 1.30830405e+38,1.681803e+38; 9.13125033e+37,true
43509,100000,-1.56271098e+38; 2.6437697e+38,-3.35957934e+38; 4.13452705e+36,true
42585,100000,-1.87120907e+38; 3.1689397e+38,5.44784318e+36; 1.68823232e+38,true
43245,100000,2.57877918e+38; -1.03857782e+38,2.05395845e+38; 2.27641612e+38,true
43880,100000,-1.77229358e+38; 2.23644862e+38,-1.1188054e+38; 1.67797936e+38,false
43243,100000,-3.01437942e+38; 1.76513349e+38,-4.26701739e+37; 3.28338441e+38,false
43186,100000,3.22736927e+38; 3.10267504e+38,2.72390124e+38; 6.49285567e+37,false
42823,100000,-4.17454678e+36; -1.89051204e+38,-2.41405924e+38; 1.8803611e+38,true
43211,100000,-2.99745882e+38; -1.02309656e+38,-2.84467711e+38; 1.65909644e+38,true
43242,100000,-6.10888379e+37; 2.28900906e+38,-6.97769197e+37; -1.9191216e+38,false
46436,100000,-1.36995e+38; -2.03228304e+38,2.28131675e+38; -9.76741622e+37,false
44308,100000,9.23450706e+37; -2.55264185e+38,-8.17811652e+37; -1.41748497e+38,true
44650,100000,-1.4543874e+38; -2.24724312e+38,-3.25739027e+38; -1.4951303e+38,false
44253,100000,2.96091195e+38; -1.24116837e+38,-2.37020827e+38; 3.29025183e+38,false
43253,100000,2.14113468e+38; 7.33188318e+37,-1.96202498e+38; 3.70039582e+37,false
45079,100000,2.06006089e+37; 2.02548194e+38,-2.21056137e+38; -2.84110883e+38,false
54093,100000,1.23385291e+38; -2.04759606e+38,1.0364794e+38; -8.02946065e+37,true
58865,100000,1.25353364e+38; 1.54420217e+38,1.59478244e+38; 5.29114115e+37,true
61817,100000,-1.58636747e+38; 2.28564157e+38,-2.37782005e+38; -2.44719259e+38,true
43727,100000,4.50729611e+34; -8.00815905e+37,3.26149726e+38; -2.19844506e+38,true
46917,100000,-4.47756249e+37; 1.71920519e+38,1.89632133e+38; -1.15725872e+38,true
45185,100000,-1.04500025e+38; 3.29258289e+38,-1.45554228e+37; 3.29617267e+38,false
44424,100000,-2.64205487e+37; -6.70708355e+37,-1.48025427e+38; -2.91816251e+38,false
44274,100000,2.04047997e+38; 2.23456965e+38,1.13592162e+38; 4.33919488e+37,true
43758,100000,-4.93114436e+36; -3.13177989e+38,2.75563409e+38; -9.38994435e+37,true
43675,100000,7.66153888e+36; 5.62065526e+37,2.4175606e+38; -1.37549897e+38,false
44765,100000,2.15285365e+38; -2.69622508e+38,1.21882668e+38; 1.86003995e+37,true
44397,100000,1.40299593e+38; -1.57705602e+38,-1.81422564e+38; -2.01857396e+38,false
44326,100000,-3.23886108e+38; 1.30236455e+38,1.42331891e+38; 1.25027791e+38,false
44214,100000,2.04971699e+38; -1.29252921e+38,2.09516095e+38; -2.35026681e+38,false
43180,100000,2.78806302e+38; -7.91139117e+37,2.30324204e+38; -3.4352056e+37,true
43568,100000,-1.30120937e+38; -2.74404675e+38,-1.20667965e+38; -3.38179466e+38,false
43028,100000,2.59631698e+38; -2.84563221e+38,2.51607672e+38; 1.94173628e+38,true
43319,100000,-2.67013359e+38; 3.3893596e+38,5.05512134e+37; -1.68327317e+38,false
43632,100000,3.03074114e+37; -3.18956184e+38,3.40208255e+38; 3.20162785e+38,true
