runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector2
1,3611,73933,50000,Vector2(8.789185462369296e+37;-1.5147203671669202e+38)
1,4018,56354,50000,Vector2(2.3064803287345576e+38;-1.5660935810399614e+38)
1,3679,58360,50000,Vector2(-2.517517178067785e+38;-2.8274050155586175e+38)
1,3661,53672,50000,Vector2(9.459507944444702e+37;2.7846486819936396e+38)
1,3785,60411,50000,Vector2(-2.113793786666138e+38;3.3579125324481148e+38)
1,3770,54242,50000,Vector2(1.9203391497460283e+38;7.494033435899235e+37)
1,3615,69999,50000,Vector2(6.301481499589967e+37;-2.880605775948996e+38)
1,3904,55578,50000,Vector2(3.107587033119846e+38;-1.663135074024777e+38)
1,3884,56405,50000,Vector2(2.9899344540837515e+38;-2.728752287954888e+37)
1,3882,58099,50000,Vector2(1.1241744572847658e+38;1.5837270065373282e+38)
1,4425,61124,50000,Vector2(-3.1780515213865404e+37;-3.1672430760147784e+38)
1,3643,66611,50000,Vector2(1.59380138079951e+37;1.2202729196350595e+37)
2,3363,49675,50000,Vector2(-2.1793410582545473e+38;2.3701717598442327e+38)
2,4107,63612,50000,Vector2(1.1088133715473441e+38;-8.837206095346902e+37)
2,3649,64373,50000,Vector2(2.2205989273980074e+38;-3.359519913409204e+38)
2,3459,63358,50000,Vector2(2.334870428753173e+38;-2.6004959637659565e+38)
2,3598,52593,50000,Vector2(2.5418861382644044e+37;3.0548144343962006e+38)
2,3441,51466,50000,Vector2(5.55450266453804e+37;2.7783942460501856e+37)
2,3450,49965,50000,Vector2(-4.846244470600204e+37;3.2011463406118584e+38)
2,3400,48299,50000,Vector2(5.375696490893927e+37;-8.321364966312889e+36)
2,3400,56488,50000,Vector2(3.102233288280866e+38;-1.7291573596461037e+38)
2,3379,56143,50000,Vector2(-4.093385004413818e+37;-3.1024415886274955e+38)
2,3867,57415,50000,Vector2(2.62616578700853e+38;-1.6995751610030336e+38)
2,3442,60287,50000,Vector2(-1.2365752105901385e+38;-9.437481247615136e+37)
2,3459,57269,50000,Vector2(1.2834934438997618e+37;-5.6707365904344065e+37)
2,3367,53149,50000,Vector2(1.7426966793529253e+38;3.363874141102916e+38)
2,3373,48444,50000,Vector2(-2.759788938190636e+38;1.5864235528941337e+38)
2,3468,49603,50000,Vector2(-8.376154092905353e+36;1.2423913943680817e+38)
2,3552,48807,50000,Vector2(2.7259720766584674e+38;-2.083245029793406e+38)
2,3338,59125,50000,Vector2(1.2228565943824206e+38;3.3582770073486924e+38)
2,3411,53991,50000,Vector2(-1.8353167084561927e+38;2.726070040696853e+38)
2,3481,54820,50000,Vector2(-2.606475015293017e+38;-1.7171098111656306e+38)
2,3397,54562,50000,Vector2(3.3484143814427727e+37;3.2648810239600133e+37)
2,3432,53185,50000,Vector2(-2.334764351750946e+38;2.1825535891116697e+38)
2,3454,67245,50000,Vector2(2.8455013870551876e+38;-2.996113895817696e+38)
2,3444,50482,50000,Vector2(1.4225767718652425e+38;-1.798305570235545e+38)
2,3472,68623,50000,Vector2(-3.1324575265999396e+38;-3.704823474781261e+37)
2,3394,49220,50000,Vector2(2.7270111445024625e+38;1.6889288227900289e+38)
2,3429,61214,50000,Vector2(-3.2345561341832815e+38;9.856311991810063e+37)
2,3357,62948,50000,Vector2(2.9268756313296144e+38;8.926985167336986e+37)
2,3466,55601,50000,Vector2(-1.4699643908391182e+38;2.8428182270887206e+38)
2,3424,62624,50000,Vector2(-1.956552377972868e+38;-3.0293476380737595e+38)
2,3476,67279,50000,Vector2(-1.4849792558446055e+38;-1.36647522125335e+38)
2,3442,49481,50000,Vector2(2.081916937612559e+38;2.592295379915008e+38)
2,3387,49341,50000,Vector2(1.914006778643672e+38;-3.31149562959787e+38)
2,3601,64311,50000,Vector2(-4.0912698026222773e+37;-2.2756697259538424e+38)
2,3617,48858,50000,Vector2(2.1984227492096628e+38;2.151724326514119e+38)
2,3408,51067,50000,Vector2(1.1464475853910159e+38;-2.362097738229211e+38)
2,3425,51326,50000,Vector2(1.944075653705182e+38;-1.0909125224793533e+38)
2,3429,52511,50000,Vector2(-2.3941260968825295e+38;-9.323906092087688e+36)
2,3399,50188,50000,Vector2(-3.3130993597252306e+38;3.212092148602661e+38)
2,3418,52588,50000,Vector2(2.9310690702211933e+37;2.2806007853766822e+38)
2,3837,53654,50000,Vector2(-1.2097606481495348e+38;-1.467952274394388e+38)
2,3372,62277,50000,Vector2(-9.34646697688019e+37;3.391472821498797e+38)
2,3410,50768,50000,Vector2(-8.939139401291974e+37;1.3373616476841723e+38)
2,3870,61150,50000,Vector2(2.3682589257945123e+38;7.559499476437182e+37)
2,3516,62032,50000,Vector2(-5.702372585873942e+37;-2.004601406323919e+38)
2,3507,52951,50000,Vector2(2.2605061908859604e+38;-1.4179070512901458e+38)
2,4117,60931,50000,Vector2(-1.1034876164336173e+38;-2.3243598812724647e+38)
2,3553,49837,50000,Vector2(-2.3608341441109035e+38;2.0591093680132526e+38)
2,3457,71266,50000,Vector2(2.5847543800243704e+38;2.1461225785117106e+37)
2,3641,59350,50000,Vector2(3.954854372110037e+37;7.014910693856253e+37)
2,3442,65981,50000,Vector2(1.8403100348765157e+38;-2.421050995631377e+38)
2,3522,65477,50000,Vector2(-7.453748006884222e+37;-2.6837045491649375e+38)
2,3548,61193,50000,Vector2(1.6801559707521134e+38;-3.0513773772647658e+38)
2,4398,61250,50000,Vector2(2.5608982098485553e+38;1.6802720875470943e+38)
2,3425,59879,50000,Vector2(-2.4610172809312766e+38;2.5186694217573684e+38)
2,3565,51364,50000,Vector2(1.5159365004467551e+38;2.928968573176615e+38)
2,3446,51300,50000,Vector2(-2.6276718573336493e+37;-2.314075685482933e+38)
2,3444,58204,50000,Vector2(1.75956312553113e+38;-3.205577438637968e+38)
2,3906,50649,50000,Vector2(-1.1831853167302062e+38;8.554267495496441e+37)
