elapsed.ps,repeats.n,param.a.vector2
43320,100000,-2.84895102e+38; 2.05162246e+36
43613,100000,-1.35501211e+38; -1.14386259e+38
42805,100000,1.10237006e+38; 1.26183432e+38
46880,100000,-2.49620868e+38; -2.1740435e+38
47703,100000,2.25424354e+37; 3.19264132e+38
41841,100000,2.55879797e+38; -1.42869131e+38
44752,100000,2.84172501e+38; 1.69843519e+38
47875,100000,-2.0944823e+38; -1.57027003e+38
42190,100000,-1.80186635e+38; -2.42182071e+38
44716,100000,3.32980274e+38; -4.77742611e+35
42139,100000,-9.35794124e+36; 4.03742558e+37
43556,100000,3.37645491e+38; -1.27427909e+38
43597,100000,-1.34198036e+38; 1.85363558e+38
41930,100000,-2.31086072e+38; 8.59630786e+37
45335,100000,1.71711894e+38; 6.7480814e+37
42668,100000,-2.40391723e+38; -1.25639295e+38
43194,100000,3.14280298e+38; 4.58592684e+37
43567,100000,1.71887844e+38; -2.63830968e+38
43282,100000,1.05168624e+38; -2.87421682e+38
42658,100000,-1.66431632e+38; -1.0622336e+38
51154,100000,1.80980164e+38; -1.55343939e+38
41743,100000,-3.15030199e+38; 1.45053176e+37
43313,100000,1.01935121e+38; 4.55052897e+37
53233,100000,-5.24775607e+37; 2.00797701e+38
42542,100000,4.98022703e+37; 1.89094413e+37
43625,100000,1.39588532e+38; -4.96111136e+37
46532,100000,-2.21299809e+38; 2.04921358e+38
55324,100000,2.57949312e+38; 1.13593521e+38
42493,100000,-2.02484122e+38; 2.47745678e+38
44786,100000,-2.20943671e+38; 1.57346056e+38
44469,100000,-3.60550761e+37; -9.61225477e+37
44126,100000,-1.82088618e+38; -7.33313308e+37
45383,100000,9.99774326e+37; 4.35134354e+37
45328,100000,-1.66405519e+38; 6.53096632e+37
43553,100000,2.48150799e+38; 9.26605432e+37
43149,100000,6.18892173e+37; 3.37680174e+38
46091,100000,-9.04028385e+36; -1.76447694e+38
45000,100000,-1.24151337e+38; 2.53527078e+38
43081,100000,-8.14983118e+37; 2.96237735e+38
45759,100000,2.86649023e+38; 1.62052396e+38
42331,100000,-2.69667008e+37; -1.55115589e+38
42603,100000,3.03687581e+37; -3.60043194e+36
46869,100000,2.45417075e+38; 1.03122393e+38
42187,100000,1.19961082e+38; -1.24734568e+38
43993,100000,-2.85343627e+38; 2.36411604e+38
46171,100000,-1.71794322e+38; 1.94715838e+38
45163,100000,-1.68423395e+38; -7.22806158e+37
42919,100000,-2.42207363e+38; -2.58242373e+38
44772,100000,-4.56511215e+36; 1.12319865e+37
46105,100000,2.90019716e+38; 1.73468736e+38
41931,100000,-2.29364339e+38; -1.07543116e+38
44432,100000,1.60606504e+38; 2.57410125e+38
42765,100000,2.13867077e+38; -3.71997722e+37
44892,100000,-1.10536039e+38; 3.39490359e+38
43684,100000,-2.88698966e+38; 6.25575024e+37
41784,100000,-2.78261395e+38; -2.57153471e+37
45699,100000,2.09933669e+38; -2.00973387e+38
42842,100000,1.06110022e+38; 2.51900672e+38
45274,100000,6.60915957e+37; -3.12738733e+38
47453,100000,-3.32575741e+38; -1.53675731e+38
41785,100000,-1.87606995e+38; -4.09334495e+37
43685,100000,1.04651189e+38; 1.87031603e+38
50107,100000,-3.36223512e+38; -2.06564395e+38
42755,100000,-7.46099593e+37; -2.62988274e+38
46513,100000,-3.50640624e+37; 1.1359633e+38
48684,100000,-1.4308455e+38; 2.25510742e+38
66100,100000,1.76444814e+38; -2.23657457e+38
48446,100000,3.14375422e+38; 7.20910361e+37
42677,100000,-2.59231546e+38; -2.33621759e+38
44220,100000,2.37253385e+38; 1.18880486e+38
43071,100000,-2.4724665e+38; 1.38958175e+38
43497,100000,2.74682645e+37; -4.67719515e+37
43294,100000,-2.10186319e+37; -1.41251518e+38
43729,100000,1.83614139e+38; -1.02922956e+38
43864,100000,1.86233998e+38; 1.17542375e+38
42199,100000,-5.19533973e+37; -2.4795984e+38
44153,100000,-2.81811182e+38; 1.59495454e+38
42119,100000,-2.78915888e+38; 3.26931674e+38
49083,100000,1.56110999e+38; -1.18714231e+38
43210,100000,6.20080013e+37; -3.39274412e+38
42150,100000,1.9771443e+38; 5.29792562e+37
44672,100000,5.83686423e+37; 2.78013194e+37
44065,100000,-3.46924075e+37; 3.04556038e+38
43549,100000,2.29555217e+38; -3.01936296e+37
42561,100000,-1.86319813e+38; -1.84342744e+38
42579,100000,-1.15033075e+38; -1.19500895e+38
46350,100000,-1.29922157e+37; -2.06812505e+37
41724,100000,-2.98898057e+38; -1.5820747e+38
46431,100000,-3.11186774e+37; -6.64957582e+37
42501,100000,-1.61406351e+38; -3.30042853e+38
44439,100000,-3.33693444e+38; 1.09964734e+38
45940,100000,1.5152617e+38; -2.6015902e+38
42334,100000,-2.57830863e+38; 1.59418918e+38
46847,100000,-2.27166963e+38; 2.06094594e+38
43281,100000,-1.54890099e+38; 2.05945457e+38
43896,100000,-1.21588959e+38; -3.80687296e+36
