runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.v.integer,param.field.integer,param.width.integer
3,3726,45644,250000,4239828646,442819246,15,6
3,3692,44632,250000,2546137229,3760461398,7,2
3,3846,36578,250000,504492214,4224339440,14,5
3,3602,33089,250000,2279708054,3616476273,2,8
3,3636,43259,250000,1693601431,725904010,10,8
3,3613,43206,250000,1763550616,325953632,2,2
3,3613,41797,250000,259595575,1107314959,15,6
3,3538,30999,250000,2606199887,3025769166,2,9
3,3507,31356,250000,2174521220,3037025199,6,12
3,3797,31453,250000,82246054,237046340,1,14
3,3546,34331,250000,2846046756,3168706106,2,14
3,3722,36376,250000,2646843997,3644777405,3,8
3,3793,32831,250000,622460676,73067475,8,15
3,3733,32295,250000,511857606,3492779158,12,13
3,3526,32452,250000,602146845,2550583788,3,13
3,3636,32649,250000,446098249,2662692912,8,7
4,3818,37483,250000,3115417384,2565705493,4,6
4,3761,35781,250000,2134105474,2251198068,9,2
4,3846,34897,250000,360580732,1763536505,2,7
4,4047,35923,250000,3222775427,3168919365,4,15
4,3889,36458,250000,1879088302,835283939,2,7
4,3773,36434,250000,3744184042,2445415816,6,13
4,3878,40573,250000,3046658175,2937898102,0,3
4,3813,36185,250000,1985145905,1177676860,8,15
4,3851,36076,250000,278826377,3270091148,5,6
4,3865,38051,250000,668253605,84399030,5,5
4,3976,36063,250000,537932481,1444955322,13,12
4,3853,38190,250000,4293237312,3899444187,2,15
4,3841,42990,250000,3543289471,2737503673,12,14
4,3920,39003,250000,2849866763,796174807,3,4
4,4124,37580,250000,788925403,3297186363,3,4
4,3834,37471,250000,3237326016,480586508,10,1
4,4140,35771,250000,2878618852,1167564524,3,1
4,3818,35856,250000,4257237667,1579819116,0,9
4,3994,36516,250000,1871736592,1007673668,10,9
4,3802,37070,250000,4150572883,3368734184,3,14
4,3781,37718,250000,3035564631,3429310411,0,7
4,3906,36649,250000,2974280155,672455346,15,8
4,3831,34572,250000,2393455849,4234135224,8,9
4,3774,35539,250000,3452282540,1420411191,0,13
4,3808,34911,250000,3075989392,2355588820,1,11
4,3764,35205,250000,612909841,3222078207,7,8
4,3758,35993,250000,2931650645,2212904254,14,3
4,3807,34645,250000,1884364880,1629339946,14,7
4,3918,38360,250000,3237460980,3766582902,14,1
4,3781,38693,250000,2029175175,2022316029,0,3
4,3816,37454,250000,1158067403,3578556013,0,1
4,3828,37336,250000,4017832107,3823792289,15,9
4,4091,37991,250000,1589610782,3350491385,11,4
4,3828,37205,250000,4117751,939498885,10,15
4,3822,36772,250000,42408678,1259623517,15,12
4,3880,37002,250000,1255548176,1269877253,0,2
4,3867,35587,250000,883330647,3764048099,7,3
4,3845,37922,250000,4017655314,1371231237,14,4
4,3810,38952,250000,4196108574,1408943450,2,5
4,3787,35090,250000,3589966381,2179809053,9,9
4,3879,35545,250000,3592762671,3151420179,5,3
4,3892,38440,250000,805438313,171776050,11,16
4,3786,34635,250000,4032077640,1644042705,11,8
4,3744,35779,250000,1742858572,52283860,12,15
4,3755,35231,250000,38315854,1606068911,5,11
4,3709,34438,250000,2437855453,1022657941,11,16
4,3780,35318,250000,992002098,1305149841,12,13
4,3715,33861,250000,2036301060,3916057118,13,12
4,3727,35532,250000,3014176805,3088286542,5,4
4,3709,37474,250000,1313508579,3686871158,2,14
4,4012,34544,250000,2212179789,2073823072,13,16
4,3866,38678,250000,3010466015,609930819,6,16
4,3900,40825,250000,2934648657,3937460706,11,15
4,3728,34161,250000,2446044885,4173126413,1,8
4,3715,35233,250000,301066328,789576922,9,1
4,3750,36166,250000,1669668247,503173402,4,1
4,3759,35030,250000,364261482,3233748742,11,16
4,3892,38157,250000,2270780149,3632633228,2,12
4,3809,38432,250000,4131214892,3648594134,14,11
4,3744,36183,250000,3007051303,2534317045,2,10
4,3728,34831,250000,3508239864,3064159989,11,16
4,3747,38743,250000,3301819558,3097079384,5,5
4,3723,37352,250000,1480274883,3059538018,12,2
4,3788,37426,250000,2298953762,303480274,14,2
4,3836,35080,250000,2294923175,4000254948,8,16
4,3779,36398,250000,830858695,1136666286,11,15
4,3728,36001,250000,2228875127,3086905611,14,12
4,3819,35902,250000,2882041439,2489707193,3,16
4,4083,37124,250000,2768413898,2456797238,4,15
4,3795,36674,250000,2554255852,2569043108,8,14
4,3752,36610,250000,617781682,572375480,7,4
4,3797,39226,250000,81131040,407266002,8,12
4,4130,36226,250000,2086696505,91701739,2,14
4,3845,38663,250000,2441237221,3457775645,3,10
4,3786,37444,250000,3716971703,1193308176,14,7
4,4000,36496,250000,1445383843,3818367097,7,6
4,3843,35950,250000,3863678970,2450829384,13,3
4,3951,34754,250000,2918257782,1423033723,5,12
4,3871,34918,250000,1842133455,4201799047,14,10
4,3753,36289,250000,4045191111,3778405128,3,2
4,3886,34522,250000,3194115800,2350475077,7,9
4,3709,34734,250000,2441399559,1955115842,3,15
4,3921,34890,250000,753458635,3648534352,15,10
4,3824,35082,250000,3613165741,352150516,12,3
4,3791,35174,250000,2763459141,1707602159,10,15
4,3855,36249,250000,1454542428,3456243949,10,6
4,3938,35992,250000,2831958467,2864219031,8,12
4,3957,36281,250000,1694639143,1320645320,12,8
4,3855,39055,250000,3553911003,1265027510,15,3
4,3850,36458,250000,1952664321,4035511928,1,12
4,3770,35160,250000,2019483456,447225435,2,5
4,3831,36853,250000,100301481,1561448942,1,13
4,4098,37920,250000,171756006,1352825094,3,1
4,3798,37604,250000,4252485953,70907118,10,9
4,3983,38195,250000,509927545,1951456059,3,7
4,3772,38400,250000,3261581541,804283886,10,13
4,3918,40706,250000,4203099957,3911748491,0,12
4,3898,38039,250000,3977560663,2943693163,6,16
4,3769,35796,250000,3105201660,1880432481,0,9
4,4070,37144,250000,3987205685,3286994122,10,2
5,3994,43574,250000,1304236073,1925003628,8,6
5,4115,41903,250000,4085076960,1355132887,2,7
5,3947,36690,250000,1252200548,3336731594,8,16
5,4242,37667,250000,1411962771,2578650787,9,7
5,4112,38743,250000,3970569623,920603083,6,7
5,4189,36354,250000,154025153,1886929715,14,4
5,3928,37530,250000,232566028,3823111157,14,1
5,4256,43991,250000,2920080956,875225241,15,5
5,3933,42371,250000,2431271121,2284590029,15,10
5,3937,36013,250000,4001553960,1525484018,1,5
5,4156,43295,250000,1493781916,1568311927,13,16
5,4107,37440,250000,1718384949,3297939416,8,3
5,4013,37265,250000,4218730608,2507463837,0,13
5,4183,38325,250000,4045776818,1373952111,6,16
