runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
5,3245,22655,250000,3965187645,20
5,3384,22600,250000,274571908,20
5,3417,22713,250000,1574876541,19
5,3250,22481,250000,3619166450,24
5,3270,22597,250000,4012361342,6
5,3294,22504,250000,2383992502,12
5,3311,22602,250000,3991237075,27
5,3322,31034,250000,2540931303,11
5,3435,25363,250000,2952711603,5
5,3281,31478,250000,3918468148,27
5,3285,22726,250000,241283137,6
5,3277,22572,250000,115728034,27
5,3245,22609,250000,97790874,7
5,3298,22893,250000,1297542847,2
5,3277,22926,250000,2939135815,28
5,3253,22793,250000,2442261028,1
5,3287,22711,250000,677264701,24
5,3286,22855,250000,3499358581,24
5,3247,22755,250000,1625481338,19
5,3319,22651,250000,25909562,12
5,3269,22647,250000,3060897762,5
5,3259,22700,250000,3531669297,1
5,3364,22751,250000,1503035128,22
5,3274,22738,250000,3064838259,30
5,3248,22850,250000,4022239193,15
5,3274,22778,250000,2293012775,5
5,3269,22686,250000,1586745471,18
5,3249,22658,250000,765002031,25
5,3282,22484,250000,3383157614,23
5,3318,22563,250000,2778837154,2
5,3277,22382,250000,2123679444,14
5,3270,22779,250000,2857679486,18
5,3377,23573,250000,2859091333,31
5,3326,24840,250000,388477256,17
5,3266,24219,250000,140298892,2
5,3291,24752,250000,576351431,21
5,3246,24586,250000,1493509676,16
5,3271,22847,250000,1889359794,23
