runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
7,3932,26577,250000,4054289938,4
7,3584,26254,250000,4038919870,24
7,3612,24418,250000,3063159197,0
7,3869,26937,250000,1926203139,9
7,3664,25053,250000,46244369,24
7,3836,24662,250000,856595102,29
8,3943,27925,250000,3682878301,21
8,3914,26553,250000,2147340777,11
8,3913,27340,250000,1111833265,8
8,3909,27220,250000,1322984288,2
8,3907,26737,250000,2216801767,14
8,3914,27710,250000,3130646451,30
8,4844,27784,250000,2591702213,15
8,3926,27951,250000,2972789602,4
8,3917,27300,250000,1277328226,30
8,3914,27783,250000,1026540172,5
8,3911,26212,250000,253347311,3
8,3998,26051,250000,1884402744,12
8,3913,27448,250000,2783028911,23
8,4039,26450,250000,2559403318,21
8,4050,27311,250000,666070073,22
8,4081,29142,250000,2262369549,29
8,4062,28711,250000,690940173,17
8,4948,27444,250000,2071422979,11
8,3921,26254,250000,249906985,11
8,3912,27334,250000,3168495340,25
8,3927,28120,250000,2682743175,20
8,3917,26327,250000,1146290173,9
8,3926,27668,250000,1816446772,13
8,3922,26295,250000,1211773720,10
8,3997,26657,250000,449873322,23
8,3911,26060,250000,2627942902,20
8,3906,26458,250000,2759297564,9
8,3911,26296,250000,2670057899,16
8,3919,26342,250000,2875211907,20
8,4301,28727,250000,1388898631,31
8,4735,28255,250000,645847257,11
8,3968,28949,250000,3838356615,19
8,3995,30407,250000,3039751941,9
8,4768,28311,250000,1895298137,18
8,3978,27629,250000,1009304065,9
8,3983,27968,250000,1653744292,25
8,4042,26086,250000,2001609988,20
8,3916,26215,250000,215157088,31
8,3910,25935,250000,3236837110,10
8,3915,26248,250000,1415297287,0
8,3920,26012,250000,2855011193,6
8,3917,26065,250000,15248975,4
8,3911,26333,250000,1826215709,22
8,4474,26561,250000,2552632035,0
8,3931,26542,250000,1133008478,14
8,3922,26287,250000,3096298646,5
8,3924,26506,250000,4057544572,9
8,3916,26703,250000,3343150338,21
8,3927,26327,250000,3890461065,14
8,3916,26993,250000,3364156164,23
8,3904,26683,250000,1743856298,18
8,3926,26539,250000,1168188748,3
8,3927,26464,250000,3894491372,27
8,3910,26152,250000,463046935,24
8,3921,26507,250000,696415954,3
8,3931,26786,250000,1162255947,21
8,3921,26448,250000,3228229432,19
8,3921,26324,250000,1603443992,4
8,3927,26299,250000,3352905255,8
