runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.disp.integer
6,3618,24711,250000,4234332050,6
6,3629,25133,250000,3362210136,30
6,3647,25467,250000,1713417613,9
6,3571,24535,250000,1597726606,18
6,3545,24290,250000,2595781241,9
6,3542,25258,250000,3272299238,6
6,3673,27827,250000,653240752,22
6,3598,25633,250000,830487002,14
6,3592,26601,250000,1422016562,12
6,3665,30144,250000,3422426885,7
6,3581,30650,250000,2674644045,14
6,3507,25159,250000,2570679239,5
6,3640,26984,250000,2573843211,21
6,3564,25840,250000,1610968470,17
6,3539,27295,250000,885718083,27
6,3524,25290,250000,201074239,23
6,3627,25572,250000,490220208,11
6,3837,27073,250000,3871876491,20
6,3604,25642,250000,2163644,20
6,3786,31233,250000,3907169243,12
6,3846,26889,250000,1190126292,29
6,3681,30756,250000,408550883,26
6,3489,26386,250000,1728508071,13
6,3485,25134,250000,91732772,12
6,3522,26628,250000,1387576585,26
6,3726,26464,250000,1602825866,14
6,3593,29097,250000,3306467420,17
6,3547,25711,250000,2280752514,13
6,3609,25156,250000,2958769465,13
6,3932,28612,250000,1891529773,16
6,3642,25595,250000,2084357375,7
6,3698,28392,250000,2855253573,13
6,3817,27926,250000,1979396604,20
6,3561,30554,250000,484089894,11
6,3607,26605,250000,638058603,5
6,3787,26044,250000,1564875235,29
6,3546,25901,250000,1570766625,2
6,3645,32031,250000,631171504,16
6,3840,24965,250000,3462459557,23
6,3641,27107,250000,3115715716,31
6,3710,26208,250000,300289309,23
6,3577,27062,250000,828834723,3
6,3524,26223,250000,2612118174,7
6,3547,29774,250000,3577745633,20
6,3554,24444,250000,1552499838,23
6,3569,27395,250000,2110549411,6
6,3727,25894,250000,172151727,11
6,3568,28276,250000,525777193,16
6,3699,27200,250000,2553262758,27
6,3766,32788,250000,2789417047,9
6,3865,25136,250000,2094046546,25
6,3690,28598,250000,2729601683,24
6,3723,28110,250000,1178050032,20
6,3520,26378,250000,3201942898,16
6,3537,27429,250000,3083640502,0
6,3697,25240,250000,3353117792,24
6,3567,26864,250000,3128985957,25
6,3575,25598,250000,2282007975,2
6,3752,26495,250000,412674295,18
6,3586,24853,250000,2330906245,14
6,3655,25585,250000,1690689035,26
6,3737,25852,250000,1580293131,9
6,3584,25138,250000,1308515730,6
6,3814,24914,250000,4182463769,22
6,3693,24926,250000,505411222,8
6,3505,27083,250000,1679915248,5
6,3601,25428,250000,1699930363,9
6,3819,25313,250000,4028426657,22
6,3570,24988,250000,59694712,0
6,3786,27513,250000,3535423705,12
6,3620,25416,250000,4214545186,14
6,3567,26928,250000,209184593,24
6,3689,28251,250000,788806211,31
6,3567,27233,250000,1771686232,14
6,3558,26961,250000,409051102,24
6,3650,26344,250000,2235179393,24
6,3541,25566,250000,589739190,28
6,3643,25650,250000,2688294851,29
6,3515,25484,250000,951403149,15
6,3633,25622,250000,672281254,17
6,3733,26706,250000,1768930197,15
6,3748,25375,250000,1450423329,15
6,3668,25420,250000,104706508,28
6,3616,28292,250000,3385278221,8
6,3529,26064,250000,929687618,14
6,3746,31621,250000,3271931144,14
6,3569,25852,250000,2122813372,8
6,3615,26123,250000,3256132620,22
6,3597,25439,250000,2717713588,2
7,3467,27627,250000,3175797063,30
