runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.r.float,param.g.float,param.b.float
1,2911,34935,50000,0.0681369364486232,0.6412977107513319,0.1293577712740646
1,2939,34112,50000,0.7873717303169983,0.4105609269261601,0.846913526436117
1,3072,34952,50000,0.6896455667432163,0.8253253942281998,0.106403486441802
1,2916,34576,50000,0.7845102269746429,0.7645120892874231,0.6490705768401807
1,2915,35305,50000,0.12852998888682438,0.986010720923888,0.1405041009611584
1,2915,34028,50000,0.850147297941593,0.268689099391081,0.7914585198000955
1,2917,34804,50000,0.00787965841129289,0.2705133983669214,0.07730594045236844
1,2918,34832,50000,0.10164797782454275,0.9741126067336233,0.6819442579235574
2,5014,79961,50000,0.4371189129565809,0.48874727732490403,0.1048829160689267
2,5169,80358,50000,0.7246125747009399,0.10362010319980318,0.15931396627874217
2,5016,77696,50000,0.9408334766043732,0.9997979267842869,0.8225949045977078
2,5016,78000,50000,0.39648177119218725,0.8169320394915144,0.5903451884503943
2,5181,80152,50000,0.570914641517733,0.4651330353335195,0.21631389753132313
2,5016,79378,50000,0.925154046006981,0.9136873724007946,0.08640158630457813
2,5016,79325,50000,0.15834604670796304,0.7014345706791321,0.22673550852043048
2,5212,79558,50000,0.4023064515488747,0.20670380241073522,0.013810428399308029
2,5260,75451,50000,0.17852648895104872,0.00017539673129328236,0.6407474316601405
2,5015,75555,50000,0.18423542672693374,0.5040638621569836,0.2516557751592791
2,5300,75263,50000,0.8908483761112316,0.008469126384974183,0.3514920818900165
2,5015,75594,50000,0.6706371273778513,0.770461150942625,0.10231992297463356
2,5016,74765,50000,0.2615468309529564,0.5377163253625304,0.8815347593075193
2,5223,73690,50000,0.046788001607872436,0.6287300965292673,0.8275267258865849
2,5014,73844,50000,0.6816390539314789,0.8358914893952402,0.2665351995938159
2,5014,74261,50000,0.09303089180476497,0.8964036548850358,0.9072232502590867
2,5177,73567,50000,0.09009428249073181,0.16407513998300025,0.2735755936609704
2,5013,73812,50000,0.07402535172270672,0.049455780422326755,0.48190592660898957
2,5015,74646,50000,0.8020769548416853,0.49609491932089894,0.6231726754621433
2,5172,73703,50000,0.42722833828338413,0.8289577579080275,0.8238947378536946
2,5031,74203,50000,0.2844493874816686,0.6957717272474812,0.3293843083962555
2,5013,74623,50000,0.9609244530519103,0.18998904936562183,0.12072076632311579
2,5302,77257,50000,0.029070149815495834,0.6863365794219005,0.169360913164963
2,5013,75183,50000,0.6940378054382086,0.9208497721751719,0.3080991571425136
2,5032,74588,50000,0.3761192713066108,0.17346477789327505,0.010315515507709757
2,5185,74682,50000,0.685826447419359,0.9470983239800894,0.3885372942135083
2,5015,75071,50000,0.7010367709112417,0.25665279605871044,0.2727037269338509
2,5013,75067,50000,0.3708290829390496,0.8028497105734496,0.8003189789879264
2,5178,74066,50000,0.7227895413102827,0.2021308501420316,0.7726217168059665
2,5016,74425,50000,0.5599553449399626,0.1951772524328178,0.16323255463524317
2,5030,74582,50000,0.0659978451234191,0.5566434541851281,0.07841385942346181
2,5174,74217,50000,0.20962020819191665,0.03812695724085513,0.6996096823294022
2,5014,74112,50000,0.47695089000332636,0.7045454369215534,0.5626681961893323
2,5014,75239,50000,0.5559984144607781,0.8886108657534066,0.8959846209080335
2,5176,73971,50000,0.9738253690476739,0.7234522659244521,0.5826823568632352
2,5013,74389,50000,0.4494151612152872,0.43803438256027544,0.23755587955651475
2,5014,74515,50000,0.8569953608740365,0.27577801061775375,0.795511687590345
