runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.minx.integer,param.miny.integer,param.maxx.integer,param.maxy.integer
4,3882,73444,50000,-6372007664828866,-5784014450460708,2800173353132373,1721360377178130
4,4586,69602,50000,-7069053352041097,-410169485187809,7513748584223498,2625235278896370
4,3884,63068,50000,-6322271246187659,-151860884681731,6372754150047985,2369323626590595
4,4374,67769,50000,-5484851279164797,-5743077173131820,7308869077272083,2735052776729242
4,4113,67281,50000,-7281162954455688,-8390786171534098,6166870701661163,6256139897724285
4,3885,66747,50000,-5901790592896798,-530610938317042,8458035956130164,7943996132567488
4,3889,68896,50000,-800031027133093,-7843242217571859,7937255983062992,1255506960954429
4,4095,72995,50000,-4972154060138774,-2789231218656208,3464174879102559,1012824341642229
4,3885,67092,50000,-5460205853869459,-1092953512933988,3041866591388739,3445265463974441
4,3885,71787,50000,-8561862963366728,-5158164358164691,3075176104402185,762741610463460
4,4049,66777,50000,-124175002340613,-3782353678091540,4442308973669355,8227013431982171
4,3885,77343,50000,-1011320792917214,-5897439973367495,3971601793894850,4364830352114489
4,3883,67649,50000,-8855315462584133,-2944534252570089,3320651524660858,3449101780184174
4,4102,67319,50000,-3221502896271555,-8163839922620242,6711944849680913,85735882678779
4,3884,72629,50000,-1127048734247480,-4731605968038403,5614552364221081,109259446043811
4,3931,81324,50000,-5581899095945046,-2624627923406073,5466866693059840,1692454930483172
4,5052,70254,50000,-3156348623990531,-4588187475012261,7169998095612001,1572899595883406
4,3884,69501,50000,-859936196769071,-4738292879861754,4582358288288832,3259337661534049
4,3882,68279,50000,-4511929375233076,-5203900979634950,6995784599968670,671948016435122
