elapsed.ps,repeats.n,param.x.float,param.y.float
30657,100000,1.4816625434983876e+308,7.544968835736823e+307
33278,100000,-1.5811752543413086e+308,-2.4938708579460495e+307
29740,100000,1.6495981063169326e+308,-9.350949349808498e+307
28422,100000,-1.7114958559027663e+308,6.355455491428417e+307
34737,100000,-1.604036057679097e+308,1.5683889729926292e+308
33255,100000,1.1040525268407237e+308,9.486354159278118e+307
30412,100000,1.1031775440641445e+308,-6.695655722272254e+307
28545,100000,-1.7663556968043943e+308,-1.0161653678399187e+308
34649,100000,1.1890843127948994e+307,-1.567390632008699e+308
29113,100000,-8.846833282515951e+307,1.4613164815384302e+307
28790,100000,6.496375400008648e+307,8.91345305175917e+307
33201,100000,-1.7400992680044316e+308,1.6078503556289748e+308
32983,100000,1.1270929954516508e+308,-1.1539031302253133e+308
28206,100000,5.121678357053549e+307,1.5402121357717486e+308
28148,100000,-1.1158600258235024e+308,-1.7149907033520035e+308
29225,100000,-1.0803939081074917e+308,1.684040844856147e+308
31254,100000,-1.293335438624562e+308,1.2201175639215598e+308
34324,100000,-7.702063397253134e+307,1.5465534817770034e+308
28105,100000,-1.7531205647564813e+308,-7.746252869105523e+307
29574,100000,-6.595658682059242e+307,1.785715502455925e+308
29447,100000,-2.4680136331185106e+307,1.2004631510568053e+308
28430,100000,-5.4845470925134794e+306,-1.354687700353692e+308
28565,100000,4.13925615902017e+307,5.557905924601436e+307
32029,100000,1.2516620388351481e+308,-1.3225512974984302e+307
29760,100000,-1.2740914019649468e+308,-9.157079796921037e+307
29624,100000,3.621357654879773e+307,-2.0918267638892506e+307
28895,100000,-1.413194346957465e+308,1.1323409153550797e+308
29357,100000,-1.6805953382763264e+307,7.851091067136144e+307
31889,100000,4.625415920108432e+307,1.0496212897896215e+308
30923,100000,-1.2690336379902383e+308,1.0166151141903963e+308
33888,100000,8.695382930680866e+307,-1.7733071461640295e+308
28800,100000,1.5306434626556918e+308,5.411328541530435e+307
29105,100000,1.0995982741168405e+308,-6.914349086244203e+307
29027,100000,6.796974983047209e+306,-1.1120144195230934e+308
29924,100000,-1.225021239397808e+308,-7.728874363175754e+307
30491,100000,5.668962772048358e+307,-1.3027526755007169e+308
28271,100000,-7.515283730788943e+307,1.6770000254611118e+308
29090,100000,1.2615681733787083e+308,1.630019157336463e+308
29577,100000,2.045314122019676e+307,1.0698393240976973e+308
29107,100000,1.5652312955066573e+308,-7.328197955200923e+307
28360,100000,6.313173118162215e+306,5.866195302089851e+307
28477,100000,7.572873468497056e+307,1.6170838454204078e+307
29660,100000,3.547513862920873e+307,-9.961552830369234e+307
31331,100000,-1.350532342807056e+308,2.6544188635400454e+307
28629,100000,-6.787084377160743e+307,9.065939388459809e+307
30370,100000,1.0565381298259431e+308,3.2741661657324176e+307
28651,100000,3.582580723994248e+307,-1.092689738725849e+308
28958,100000,-1.1094896651154642e+308,1.2058146369580632e+308
29688,100000,-5.405471222745288e+307,2.721140284757409e+307
32695,100000,1.3305817621073897e+308,-8.502903016312057e+307
27936,100000,-1.4417168320530625e+308,1.261456094697305e+308
29435,100000,-1.5099165130534368e+308,9.336308406347682e+307
28815,100000,-1.096084947704978e+308,-9.770554687291389e+307
31410,100000,-6.591533518883317e+307,-6.303489735806441e+307
28576,100000,-1.4783072534664175e+308,-3.111550179760132e+307
30840,100000,-2.381934665361668e+307,-1.1302051491469833e+308
28902,100000,-5.925571132702721e+307,-8.903384305491847e+307
29190,100000,8.396786195356003e+307,-1.283765066599303e+308
30749,100000,1.299628831503519e+308,8.996491282933336e+307
30864,100000,-4.071519237733969e+307,6.64119915683102e+307
32159,100000,1.7824576670674715e+308,-6.287820925334826e+305
29279,100000,-2.65592906869774e+307,3.4794979091998365e+307
28552,100000,-1.1341563620177877e+308,1.9937144208816174e+307
28963,100000,5.618472339147161e+307,-1.641888116685455e+308
28282,100000,2.3822316682972307e+306,8.36274354241895e+307
29616,100000,1.5778633183539052e+307,-5.126059959165677e+307
28760,100000,-4.571333643616626e+307,1.316409581492839e+308
28309,100000,6.579307753010404e+307,3.337412254900878e+306
33470,100000,-7.961795370665246e+307,5.095103532123547e+307
35946,100000,-1.2281650405462677e+308,5.207624482906148e+307
30444,100000,-1.412525613116973e+308,1.2511018850538521e+308
30588,100000,-1.7083110001442734e+308,1.4425406161892818e+307
33748,100000,1.5317917296314547e+308,-1.3529888544543866e+308
32531,100000,-8.130263820500178e+307,-2.756493877479434e+307
29132,100000,-1.4871907407394543e+308,9.31648479425756e+307
29423,100000,-6.979493613860782e+307,8.317639487582205e+306
30663,100000,-1.5584852581025281e+308,1.13567110694835e+308
30886,100000,-7.760515956201737e+307,-1.1339027683474593e+308
35051,100000,-1.3006504064854134e+308,1.3118806603695755e+308
31669,100000,1.578992493795155e+308,-1.562428995875834e+308
28629,100000,9.183539892620747e+306,1.2856357589813107e+308
28346,100000,4.769499874498669e+307,-1.0626917283363004e+308
28307,100000,1.220178760114254e+307,1.4175858236595728e+308
28607,100000,1.9942607075489127e+307,1.5543549575348442e+308
30610,100000,-3.09459807580748e+304,-4.929724628305768e+307
28624,100000,-3.589736539913528e+307,-7.623238524973157e+307
28578,100000,1.651593912635329e+308,1.6111697537325029e+308
28504,100000,-1.1526333147748133e+308,-5.675023886059292e+307
28846,100000,8.516408335058449e+307,2.300186661165332e+307
30486,100000,-1.2873213196583814e+308,-7.794483485965763e+307
29198,100000,2.6128631142062663e+307,-1.1497482864455465e+308
28784,100000,-1.548874116361834e+308,-1.5029433252708145e+308
40787,100000,-3.8394021852755953e+307,-7.390532023173631e+307
29351,100000,-8.863408647070574e+307,-7.626998250984485e+307
29863,100000,-2.8645593685329674e+307,6.3900888467939795e+307
28339,100000,-2.8651500540764787e+307,-7.886785112566595e+307
32892,100000,1.3453979603413887e+308,-1.4829928097546872e+307
29093,100000,1.004840388167434e+308,-1.0811311814044315e+308
29254,100000,1.3352101760561253e+308,-1.725567501304091e+308
42695,100000,5.3693822718687574e+306,3.8123752031186394e+307
42641,100000,7.384164596287436e+307,-1.3517940869838212e+308
39945,100000,-7.271982453591152e+307,7.903915702720088e+307
29685,100000,4.567504183866964e+307,3.606289531200718e+307
27954,100000,1.119676612754097e+308,-1.2727198558484982e+308
36285,100000,-7.126204206185692e+307,1.720955154122974e+307
32547,100000,-1.1569069119040662e+308,1.1647623539868783e+308
29288,100000,1.684582943144518e+308,2.806832883691067e+307
28704,100000,8.688593525725201e+307,-1.3729696596656969e+308
31048,100000,-1.3605381371623261e+308,-1.709294320890441e+308
30605,100000,-1.6666274956125645e+308,1.2631137427219735e+308
30324,100000,-2.1338076406637324e+307,-4.842226246503867e+307
29315,100000,-1.7403793819169118e+308,7.880429719060134e+307
