runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.a.vector3
1,2903,26974,50000,-1.0568063957567187e+37; -1.756658684475887e+38; 1.2813917299106074e+38
1,2915,27240,50000,1.0136761940002155e+38; -3.9313739335721295e+37; 3.2583350283785067e+38
1,2933,39280,50000,-3.125684418736896e+38; -2.982238902231934e+38; 1.853008243057074e+38
1,2903,25645,50000,-3.2652101567618565e+38; -1.4432098643309413e+38; 2.046342199640042e+38
1,2904,25800,50000,2.3420674389769328e+38; -1.8887582210485664e+38; 7.401896026732487e+37
1,2916,25544,50000,-1.6052588125725648e+38; -3.2242851219599923e+38; 1.5563530552398558e+38
1,2902,25880,50000,3.028582991231702e+38; 1.87798095988157e+38; 8.22905883285125e+37
1,2902,26084,50000,4.817147832843045e+37; 2.010766447547045e+38; 1.0276991477640362e+38
1,2903,25768,50000,-2.242575323851756e+38; 1.8511355681783688e+38; -2.7707840324367754e+37
1,2902,25888,50000,2.219279962301482e+38; -6.963243283631911e+37; -2.6009233141363055e+38
1,2902,25701,50000,5.005561783916408e+37; -1.2906222545212292e+38; 2.0526989096339225e+38
1,2904,25750,50000,-1.6259116803876272e+38; -1.778715399271666e+38; 1.0708815640487629e+37
1,2903,25760,50000,2.4970374206186897e+38; -1.718643972628051e+38; -2.13146686427428e+38
1,2905,25891,50000,2.970779543629967e+38; 1.8538110208291865e+38; 2.704656886757798e+38
1,2904,25610,50000,7.765872487094097e+37; -2.796154081665407e+38; 1.0157539240400136e+38
1,2985,25498,50000,-2.2509491194807197e+38; -5.0528451513049206e+36; -7.66896668342953e+37
1,2906,26447,50000,-1.093565664479607e+38; -9.226598696712968e+36; 3.1261371221192496e+38
1,2907,26202,50000,2.1666951786907665e+38; 9.243522592816375e+37; -2.1715394294005027e+38
1,2907,25833,50000,1.6075744045709897e+37; 2.4855786704890107e+38; -5.858043121943409e+37
1,2919,25844,50000,-2.7525453291308117e+37; 3.1758294312963883e+38; 5.801720898715029e+37
1,2910,25711,50000,6.6846207805451075e+37; 2.5087344890612117e+38; -5.105402452250623e+37
1,2904,25535,50000,-3.5356382621326407e+37; -3.248383058458283e+38; -2.0541148246483534e+38
1,2904,25580,50000,3.3046105628338142e+38; -1.3646448351986684e+38; 2.1965644748417762e+38
1,2903,25606,50000,1.9085978656505703e+38; -2.5629148898354464e+38; -2.126424657246812e+38
1,2904,25725,50000,-1.2701126819300167e+38; -1.5190652649522144e+38; 9.359646233110522e+36
1,2904,25778,50000,8.080721148443863e+35; 2.4096433571738992e+38; -9.6805627575884e+35
1,2904,25404,50000,1.860774174870216e+38; -2.6617157804413306e+38; 2.7314002579406927e+38
1,2905,26010,50000,-5.583215964753689e+37; 2.0880136271153206e+38; -1.4138085847815359e+38
1,2910,25950,50000,8.847344257787287e+37; -7.004072281224302e+37; 2.6913593333734517e+38
1,2931,25699,50000,-1.5550202981047998e+38; -2.712516726127405e+38; -3.7658676964954915e+37
1,2908,25580,50000,-1.3359868045491887e+38; -2.8155006608899463e+38; -2.9683324709112863e+38
1,2904,26309,50000,2.151089487093525e+38; -1.1684964914590976e+38; 8.555856622288887e+37
1,2904,25641,50000,2.8207945726205954e+38; 2.1768042865793946e+37; 3.734250969345079e+37
1,2904,26837,50000,2.72670978592527e+36; 2.436530327816788e+38; 5.760361009051263e+37
2,3250,35243,50000,-9.076061892044306e+37; -2.4876557920565207e+38; 2.3110067540858045e+38
2,3254,34718,50000,-2.1481499574696676e+38; -1.1025769362424133e+38; 2.141265093529708e+38
2,3262,35309,50000,-1.1357881650238167e+38; -3.069312706429083e+38; 7.538815475123378e+37
2,3260,35434,50000,1.1965279224168844e+37; -9.805705351607991e+37; -3.5808596690548225e+37
2,3251,35461,50000,-1.5780119305712592e+38; 1.6738863483544686e+37; 2.8352977124317826e+38
2,3249,34684,50000,-2.521184389842197e+37; -3.670585499719697e+37; -1.8108964844693e+38
2,3250,35115,50000,1.4175459229871527e+38; 3.1275039537024397e+37; -1.772532915176281e+38
2,3343,43344,50000,8.416194485059342e+37; -2.9472383592752965e+38; 3.2203251843089754e+38
2,3251,42665,50000,1.5166232628359348e+37; -3.802988309021975e+37; -2.9023370087766604e+37
2,3255,35382,50000,-2.9888578637819897e+38; -9.771171506896334e+37; 2.9289426116923225e+38
2,3247,34782,50000,6.633246958199778e+37; -2.058922769844899e+38; -1.3238533600640442e+38
2,3270,35148,50000,3.1433538455113094e+38; -4.532871608079224e+37; -6.311408724970474e+37
2,3265,35181,50000,6.770577632445383e+37; -1.0808615744002637e+38; -3.0055235141051182e+38
2,3256,35188,50000,-3.2678221254706148e+38; -2.8458238773678857e+38; 1.4181093683259422e+38
2,3262,34821,50000,2.162838681328728e+38; 2.1484282321294297e+38; -2.589934710261239e+38
2,3249,35144,50000,1.5359186289762247e+38; 2.551603979457019e+36; 4.514471913147031e+37
2,3258,35935,50000,-6.553782505613631e+37; 1.2251896799591287e+38; -1.4545010817572942e+38
2,3248,35546,50000,2.741010874907287e+38; -3.301782180814585e+38; 3.3693923762837816e+38
2,3248,35673,50000,-2.2656775968626034e+38; 1.3120472736699026e+38; 4.63937859738992e+37
2,3328,38174,50000,-3.2748962242921764e+38; 2.819652875784006e+38; -1.766385114001318e+38
2,3360,37472,50000,2.4033193018594806e+38; 3.380592322866918e+38; 6.393791816298586e+37
2,3250,35746,50000,5.029779995103648e+37; -2.538478642744967e+38; -1.1974517608213187e+38
2,3248,35290,50000,6.03228423224598e+37; -1.290904281426768e+38; -3.1216770202474066e+38
2,3247,34793,50000,4.310308163956193e+37; -2.2754602086626367e+38; -2.491022672050727e+38
2,3332,36238,50000,2.8184913021860047e+38; 1.3319569939970872e+38; -1.0639489857402107e+38
2,3318,36619,50000,-1.936151519097131e+38; 1.3139077791028456e+38; 2.7602241987007302e+38
2,3264,35075,50000,-1.8175572277831393e+38; 3.019736615458973e+38; -1.3258778487786327e+38
2,3283,35112,50000,-1.3233386939203516e+38; -2.77726284253647e+38; -1.2755862197507181e+37
2,3365,35788,50000,-3.2916764702295656e+38; 1.3993869802569554e+38; -1.8556648330669602e+38
2,3308,35077,50000,-1.6359951817341306e+38; 9.58913383834212e+37; 3.1162378864639954e+38
2,3332,37476,50000,4.5214581415981115e+35; 1.5664380017080435e+37; 1.079841064961056e+38
2,3332,36233,50000,1.949808476779654e+38; 1.8094428441730064e+38; 2.3781466004762925e+38
2,3330,36936,50000,1.6141153295500953e+38; -3.1632265504409673e+38; -2.10026399969183e+38
2,3337,36526,50000,-6.572665048659451e+36; -1.5862104861812473e+38; 2.2251884817491457e+37
2,3326,37186,50000,-8.693818586533406e+37; 2.9659077088431697e+38; 1.5492523864617133e+38
2,3311,41805,50000,1.382194697168468e+38; 8.827054749340274e+37; -1.2751370404370333e+38
2,3314,36736,50000,-2.6720565641536564e+38; -2.171246957054018e+38; 7.5931571210539615e+37
2,3321,37252,50000,1.9062390214136657e+38; 6.787232659856482e+36; 2.090210617723588e+38
2,3336,36506,50000,-2.366290315118382e+38; 9.698300865672334e+37; 6.354750206052517e+37
2,3345,38174,50000,1.4980224678125218e+38; 2.669839088311689e+38; 2.7092476073474883e+38
2,3351,37353,50000,-4.0765526326837476e+37; -8.047842094825744e+37; -1.791510760194226e+38
2,3321,44352,50000,-1.163244361492232e+37; -1.1876465341345774e+38; -3.3301398289778345e+38
2,3310,42585,50000,-2.099729558198774e+38; 1.773633438721375e+38; 2.7278828824672275e+38
2,3349,36962,50000,1.470074524323266e+38; 1.5400938644051844e+38; -2.729213002889035e+38
2,3337,41091,50000,-4.607629020456603e+37; 1.907641550037758e+38; -1.7472849660534634e+38
2,3294,45498,50000,-3.3687707204294297e+38; -2.2837727007085733e+37; -3.049863396799901e+37
2,3330,35750,50000,-6.5054450233684985e+35; -3.1646945912480796e+38; -3.112393114870009e+36
2,3301,37511,50000,7.030974362262345e+37; 1.109140222578107e+38; -1.270813946242063e+38
2,3323,47598,50000,-2.1668778217892474e+37; 2.2246320845476935e+38; 8.398329738680446e+36
2,3316,35964,50000,-1.712073283212852e+38; -2.48469800826402e+38; -1.2655283502993513e+38
2,3342,37145,50000,7.269078695683934e+36; -4.846857506430474e+37; -5.08083639773868e+37
2,3253,34852,50000,-6.199382892006625e+37; 2.5110094655344053e+37; 2.942219679842969e+38
2,3330,39281,50000,2.400855394740829e+38; 7.944245124232932e+37; -3.9565449109505013e+37
2,3339,36505,50000,-1.743939585413437e+38; -1.322185740346432e+38; 1.9224527796508248e+38
2,3703,37770,50000,3.0622517911737636e+38; -1.0974230745500774e+38; -5.979804511517011e+36
2,3313,48387,50000,1.6465533928774075e+38; 7.585813874656959e+37; -7.601653929497171e+37
2,3345,37603,50000,4.786573621546261e+37; -2.9176552479237943e+38; 3.0831367911667398e+38
2,3326,41369,50000,1.3862910340240696e+38; -2.948375188333581e+38; -2.7796279743203517e+38
2,3343,37475,50000,-1.8674418142033206e+38; 2.238914146094201e+38; 3.2672654747390426e+37
2,3299,36636,50000,-1.5957637039286633e+38; 1.3543828740006648e+37; -3.945789719580455e+36
