elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
32376,100000,-4.891142626619327e+37; 1.4795395389419182e+37; -3.0551581198269345e+37,5.285442810519118e+37; -3.292490808975152e+38; -1.8099596399697074e+38
33112,100000,-3.344928747940337e+38; 1.4872934787803822e+38; -6.043888305840469e+37,-4.398449431370782e+37; 2.5730788109360283e+38; -1.5828995856375472e+38
33043,100000,1.12909709950762e+38; 3.1334002529983173e+38; 1.9378304716111094e+37,2.2109388213519802e+38; -3.716176300026785e+37; -7.9799127556414335e+37
33186,100000,-2.8734546039709404e+38; -2.702374760735219e+37; -2.641105404274388e+38,-3.0016094146998055e+38; -1.020510858976406e+38; -1.3867478953003918e+38
32842,100000,-2.680868257005963e+38; 2.6486251076349418e+38; 1.054252472768945e+38,-3.17300510575908e+38; -1.1636172535927951e+38; 6.699235777845259e+37
32934,100000,-4.7762914539976895e+37; -2.6148883616207078e+38; -3.9302360903933646e+37,2.751335635516026e+38; 2.9723204489935803e+37; 3.2125651343946182e+38
33466,100000,-1.4998191850672613e+38; -5.546429758455546e+37; -1.9950025531548948e+38,-2.588472551352912e+38; -2.547222186701005e+38; -2.9498771007647316e+38
32485,100000,-3.2554161868124452e+38; -2.235260270004103e+38; -7.241024066720163e+37,2.041177284034472e+38; 1.5940653563605015e+38; 1.0220497868050831e+38
32167,100000,-2.435014217698915e+38; 1.812079963069673e+38; 1.0259059799309774e+38,-1.3739211980549945e+38; -3.2087664418999503e+38; -6.592359648679777e+37
32648,100000,-1.4518567626052181e+38; -9.547802344051798e+36; 9.08491922031822e+37,1.1404734269952723e+37; -2.6063277649992945e+38; -7.634324834886733e+37
32762,100000,-1.3966200539388252e+38; -2.3742213457456978e+38; 1.3758329165721867e+38,1.7551456167194546e+38; -1.6545027030263787e+36; -9.750946902160053e+37
31955,100000,2.5879409493972e+38; -1.6891912771703001e+38; -1.3609025278026986e+38,-3.216651025809274e+38; -2.485995930360582e+37; 1.6121854582763079e+38
32133,100000,-6.639029473177779e+37; -3.3458704602182347e+38; 2.4191941410321627e+38,-2.195091566256359e+38; 2.9047651681483856e+38; 1.2255845784741118e+38
32599,100000,-6.062036498893577e+37; 3.115041629945572e+38; -1.7631153867491135e+38,-2.0966527166619e+38; 1.3213839006357636e+37; -1.4918462712641139e+37
32168,100000,-9.481840905659283e+37; -2.6535042440891962e+38; 1.2584035454537806e+38,-2.4518196138242127e+38; -9.538286851586245e+37; -1.3953338449338097e+38
32006,100000,2.5272462443064646e+38; -2.1231167990645526e+38; -2.783445123807759e+38,1.6788634742001207e+38; -8.391613725800437e+37; 2.680852233902376e+38
31634,100000,2.8498178894670368e+38; 1.662613258331699e+37; -1.5044512183900133e+36,5.094787146124312e+37; 1.3598906383875724e+38; -4.516135070734531e+37
32111,100000,1.9912839761781613e+38; -3.083331502298935e+38; 2.276173135360205e+38,2.0642578548670436e+38; 3.4596319603839165e+37; 1.1012610135073284e+38
32594,100000,-2.952568576519136e+38; -3.0947255515419783e+38; 2.6826539203474684e+38,-3.1928808530501783e+38; -9.874982963970704e+37; -6.732607947546867e+37
31552,100000,1.4856289014242105e+38; -8.344203086291661e+37; -2.5519332833916933e+37,7.750544056036138e+37; 1.877008418341075e+38; 2.138254169824046e+38
31709,100000,1.058007355258869e+38; -2.8552527639444313e+38; 3.2502293662045034e+38,3.241707306161337e+38; 1.908913459944003e+38; 2.03641112060171e+38
