elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
32349,100000,1.9889480510641087e+38; 2.977640474326594e+38; -4.7571402957896815e+37,5.132203628300888e+37; -2.2741832281539908e+38; -2.6768271897165313e+38
32696,100000,-3.39200077262078e+38; 1.7911193096888754e+38; -2.417263052813799e+38,-1.5089554978852742e+38; -3.2855984405436393e+38; 1.530809920998269e+37
29562,100000,2.0379738802616714e+38; -6.287033832169045e+37; -2.9414856594394128e+38,-2.218512881570272e+38; -2.6621465788213122e+38; 5.53773037944642e+36
35279,100000,2.86626631518331e+38; 1.596362035011971e+38; -1.9230296113799527e+38,6.021751069878564e+37; -1.4724155960987555e+37; -4.0901491994916756e+37
30391,100000,8.809124085130166e+37; -2.987898100159545e+38; -2.560162769676327e+38,1.646683403122967e+38; -2.2519808856572575e+38; -2.47727687741414e+38
31486,100000,3.3678515216261922e+38; 3.1752698396154236e+38; -6.334226435774582e+37,1.7230568164855173e+38; 1.6402155455244585e+38; 2.9687543450310422e+38
30989,100000,7.391867896364201e+37; -3.6174889402086572e+37; -4.93820085926124e+37,-1.7172690280810193e+38; 2.2302460527018883e+38; 2.529614012803595e+37
37799,100000,2.559135668453998e+38; -5.529378843761996e+37; 2.0177225027447133e+38,-1.938377919199324e+38; 2.552010863608427e+37; -2.3979752925771105e+38
30071,100000,7.204915799963022e+37; -3.212497391146542e+38; 3.296450138153881e+38,-1.1485748045102468e+38; -2.551554382627285e+36; -3.178778088004567e+38
42236,100000,5.419962342793657e+37; -4.1425082398835024e+37; 2.4298630941318756e+38,1.434282663155942e+38; 1.0928234392075408e+36; -9.922608089961039e+37
42148,100000,-1.5473390453517529e+38; -2.6695417481868996e+38; -3.1885495444793185e+38,-2.242824391841689e+38; 1.3269371990322314e+38; -5.273593826828664e+37
37094,100000,-2.0450801774084788e+37; -3.0858672091475834e+38; -2.4939634186191603e+38,1.033491296886599e+38; -1.545128871177243e+38; -1.5343792954993556e+38
38605,100000,-3.0124065526282134e+38; 1.828675841903765e+38; -2.8709408021246638e+38,-1.6883448922175397e+38; 2.3801793035667705e+37; -1.1476175761890025e+38
31952,100000,1.3106248682843985e+38; 2.0997900758384288e+37; 1.9336034399786244e+38,-2.4882660897614945e+38; -1.5105390470150793e+38; -3.343655621089516e+37
42724,100000,2.256822956007961e+37; -2.4676970897101433e+38; 1.7523028341894068e+38,3.0041349803436522e+38; -3.0214946947234177e+38; 1.5731909032205193e+38
47166,100000,1.9087828412261557e+38; 3.336601399029366e+38; -1.1993651019312792e+38,1.577527180981732e+38; -6.209328878616015e+37; 6.445553032667345e+37
47097,100000,-1.9246947972084125e+38; 2.643972120047768e+38; -4.904952951009719e+35,3.0150177100405876e+38; -4.395013084123684e+37; 2.7368246869771413e+37
45956,100000,4.914844143421915e+37; -3.114097889426714e+38; -6.856501525430053e+37,1.5533092740306357e+38; 2.2051694899402215e+38; 1.5022213322486698e+38
44862,100000,-1.471923671606831e+38; -3.050551680369801e+38; -1.7225957973152263e+38,2.640932598144565e+38; -9.018898962937854e+37; 1.6663021722843871e+38
44834,100000,-2.5343838270700856e+38; 1.3792664749879649e+37; 2.5984672157453513e+37,-3.1005435607367857e+38; -2.2746605746640127e+37; -8.144740672881889e+36
45020,100000,4.60622395653131e+37; 7.057392707831342e+37; -2.5599873268332553e+38,2.849974469669177e+38; 1.163889037881484e+38; 3.678951803533613e+36
45637,100000,-2.780251049943376e+38; 1.675515862495038e+38; 1.771539482753894e+38,2.7240904775195367e+38; -7.640676271454117e+37; 1.013928304351589e+38
45939,100000,-4.398505207997192e+37; -1.5741159078635058e+37; -1.354339444291101e+38,-9.601048739863785e+37; -3.3871946528410988e+38; -2.9382238423269535e+38
45914,100000,-2.4483967543795004e+38; -2.1517549529526207e+38; -2.9741381078362355e+38,-7.240192487926413e+37; -1.0344416291885782e+38; 9.065388273990384e+37
37495,100000,-2.9656125490774126e+37; 4.20592423587076e+37; 3.3028887890825602e+38,-1.3490065903340128e+38; 2.5164318663298935e+38; -2.2643734379250886e+38
29533,100000,-9.026921670056578e+37; -4.5448889357693875e+37; -4.107936112123718e+37,1.2448543887783011e+38; -1.1224321982998121e+38; -1.9218110442109653e+38
34524,100000,-1.6987641688550316e+38; 8.04849113193306e+37; -3.1959132761100202e+38,-1.6833845247128227e+38; 1.6966126108442763e+38; -9.019507435225963e+37
31332,100000,-2.2358610349765632e+38; -2.7063265347163704e+38; 7.099456397108355e+37,-5.481606163241795e+37; -2.756456943940948e+38; 1.0972688268250417e+38
31381,100000,-3.3206028371581015e+38; -8.778731908459574e+37; -1.0553704391862982e+38,1.4899876419540592e+37; 2.2723989845811576e+38; -3.5909699431820027e+37
31187,100000,3.084903591867314e+38; 1.700432599869028e+38; 2.2293377556938128e+37,4.362868507263336e+37; 1.6589563905861846e+38; -1.1864730953269581e+38
