elapsed.ps,repeats.n,param.a.vector3,param.b.vector3
19788,100000,-4.075314898637685e+37; 1.3953601106542464e+38; -2.9358471495695976e+38,6.514381389657337e+37; -6.298413785137414e+37; -2.284093416310431e+38
19592,100000,-1.1346133064475252e+38; -1.520052004179432e+38; -1.1828882808415607e+38,-1.4026156356297127e+38; -7.678789454400579e+37; -6.882687637409088e+37
23729,100000,2.6708284642521553e+38; 1.3413489665881541e+38; -1.6018594807229928e+38,-2.811595789981003e+36; -9.526791669178316e+36; 3.2796169551274263e+38
22202,100000,-2.8783935735335256e+38; -3.072256698183053e+37; 1.5222275968455678e+38,-2.00206367123431e+38; -6.915573029280208e+37; 1.631481787831054e+37
22890,100000,-2.573388117682484e+38; 1.7089712407820453e+37; -1.2810580842726273e+38,1.9482165104498633e+38; -1.7918878101887577e+38; -1.96768194459468e+38
20271,100000,-9.123042037409244e+37; -2.3833802734504188e+38; 2.3627293324642687e+37,2.0605859274323985e+38; -2.845841523064241e+38; 3.208980624145365e+38
19909,100000,4.499559271485946e+37; 2.301649261591064e+38; 1.210084051170665e+38,-1.6046680873928585e+38; -9.51465581615703e+37; 2.3271531747230796e+38
19920,100000,2.2066861071183345e+37; 1.0018846095289406e+38; 8.673710605652346e+37,1.1579536949471194e+38; 1.1945002645757953e+38; -1.5285024673166975e+38
19490,100000,-2.585579671271143e+38; 3.2787012043338215e+38; 1.9727683165690597e+37,-2.6912631947519304e+38; -1.2536248069270642e+38; -1.9342200252305754e+38
19864,100000,-3.0770859399096824e+38; -2.0122736334046923e+38; 1.0027606067997223e+38,1.4855786010483934e+38; 2.7788722517385196e+38; 4.417894684518043e+37
21254,100000,1.561747364898043e+38; 1.0689948436014072e+38; -2.194819376319478e+38,2.226750987878987e+38; 6.909883306326144e+37; -1.943637705775815e+37
21671,100000,3.2846342147910817e+38; 3.3413426150983155e+38; 1.9897857145807395e+38,-1.5206203172965264e+38; 2.426138432432261e+38; -8.983811408444017e+37
