runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.start.vector2,param.finish.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
8,300003,8600008,1,EditableImage[1024][1024],Vector2(1023;1023),Vector2(245;1023),Color3(47;85;43),0.6000000000000001,ImageCombineType(Overwrite)
8,1499983,60200022,1,EditableImage[2048][2048],Vector2(469;1210),Vector2(110;1729),Color3(209;155;173),0.8,ImageCombineType(BlendSourceOver)
8,500004,20200009,1,EditableImage[2048][2048],Vector2(1365;863),Vector2(1839;919),Color3(22;60;82),0.6000000000000001,ImageCombineType(AlphaBlend)
8,400004,37500024,1,EditableImage[2048][2048],Vector2(254;659),Vector2(1316;1160),Color3(125;230;148),0.6000000000000001,ImageCombineType(AlphaBlend)
8,500004,8000003,1,EditableImage[256][256],Vector2(254;254),Vector2(255;255),Color3(161;191;22),0.30000000000000004,ImageCombineType(AlphaBlend)
8,400004,35499980,1,EditableImage[2048][2048],Vector2(217;73),Vector2(1035;449),Color3(231;152;94),0.2,ImageCombineType(Add)
8,400004,18700026,1,EditableImage[2048][2048],Vector2(1039;1039),Vector2(82;1025),Color3(91;208;241),0.30000000000000004,ImageCombineType(AlphaBlend)
8,300003,71799994,1,EditableImage[2048][2048],Vector2(1008;1703),Vector2(491;966),Color3(153;150;106),0.2,ImageCombineType(Add)
8,300003,9600015,1,EditableImage[1024][1024],Vector2(870;1023),Vector2(476;1023),Color3(181;108;49),0,ImageCombineType(BlendSourceOver)
8,300003,60899999,1,EditableImage[2048][2048],Vector2(1123;290),Vector2(1696;994),Color3(80;160;47),0,ImageCombineType(AlphaBlend)
8,200002,39999985,1,EditableImage[2048][2048],Vector2(1219;787),Vector2(39;119),Color3(198;73;54),0.30000000000000004,ImageCombineType(Overwrite)
8,300003,36199985,1,EditableImage[2048][2048],Vector2(633;1069),Vector2(1956;1696),Color3(230;145;126),0.9,ImageCombineType(AlphaBlend)
