runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.image.editableimage,param.position.vector2,param.size.vector2,param.color3.color3,param.transparency.float,param.imagecombinetype.enumitem
1,300003,10300021,1,EditableImage[512][512],Vector2(274;224),Vector2(228;128),Color3(237;43;6),0.7000000000000001,ImageCombineType(Overwrite)
1,300003,1408700017,1,EditableImage[2048][2048],Vector2(950;1),Vector2(1098;513),Color3(146;145;243),0.8,ImageCombineType(AlphaBlend)
1,200002,150899985,1,EditableImage[1024][1024],Vector2(462;496),Vector2(148;414),Color3(64;151;102),0.5,ImageCombineType(AlphaBlend)
1,300003,1161499997,1,EditableImage[2048][2048],Vector2(464;1),Vector2(440;585),Color3(24;158;106),0.1,ImageCombineType(Add)
1,200002,348500006,1,EditableImage[2048][2048],Vector2(957;1),Vector2(542;274),Color3(108;232;160),0.1,ImageCombineType(AlphaBlend)
1,200002,550099998,1,EditableImage[1024][1024],Vector2(776;538),Vector2(248;470),Color3(208;88;198),0.2,ImageCombineType(Add)
1,200002,485300000,1,EditableImage[1024][1024],Vector2(254;226),Vector2(255;749),Color3(122;85;132),0.8,ImageCombineType(BlendSourceOver)
1,300003,5386100006,1,EditableImage[2048][2048],Vector2(1;730),Vector2(1075;1318),Color3(52;230;47),0.30000000000000004,ImageCombineType(Add)
1,200002,2145199979,1,EditableImage[2048][2048],Vector2(483;1),Vector2(623;1360),Color3(239;150;74),0,ImageCombineType(AlphaBlend)
1,200002,490299979,1,EditableImage[2048][2048],Vector2(1718;1),Vector2(330;613),Color3(121;56;114),0,ImageCombineType(AlphaBlend)
1,300003,1167199982,1,EditableImage[1024][1024],Vector2(280;159),Vector2(744;629),Color3(205;155;176),0.9,ImageCombineType(AlphaBlend)
1,300003,3989899997,1,EditableImage[2048][2048],Vector2(525;791),Vector2(1523;598),Color3(194;29;134),0.4,ImageCombineType(Add)
1,200002,1544200001,1,EditableImage[2048][2048],Vector2(1;1),Vector2(757;760),Color3(228;0;135),0.9,ImageCombineType(BlendSourceOver)
1,200002,3075699992,1,EditableImage[2048][2048],Vector2(54;895),Vector2(1196;1153),Color3(162;155;54),0.1,ImageCombineType(AlphaBlend)
1,300003,58700011,1,EditableImage[512][512],Vector2(255;1),Vector2(82;192),Color3(205;236;54),0.9,ImageCombineType(AlphaBlend)
1,200002,55300014,1,EditableImage[1024][1024],Vector2(1;48),Vector2(532;547),Color3(116;201;101),0.30000000000000004,ImageCombineType(Overwrite)
1,700006,1958300011,1,EditableImage[1024][1024],Vector2(1;1),Vector2(791;600),Color3(126;223;247),0.6000000000000001,ImageCombineType(Add)
1,299974,1066700003,1,EditableImage[2048][2048],Vector2(998;339),Vector2(277;1709),Color3(38;230;131),0.7000000000000001,ImageCombineType(AlphaBlend)
1,200002,180500007,1,EditableImage[2048][2048],Vector2(1511;1703),Vector2(129;345),Color3(246;171;168),0.8,ImageCombineType(Add)
1,200002,4168799992,1,EditableImage[2048][2048],Vector2(496;1),Vector2(1183;1340),Color3(13;143;44),0.5,ImageCombineType(BlendSourceOver)
1,200002,7472500002,1,EditableImage[2048][2048],Vector2(445;1),Vector2(1603;1692),Color3(78;87;18),0.4,ImageCombineType(BlendSourceOver)
1,300003,742500008,1,EditableImage[2048][2048],Vector2(844;256),Vector2(1204;273),Color3(45;184;182),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,521500013,1,EditableImage[2048][2048],Vector2(1452;784),Vector2(162;1264),Color3(214;16;96),0.4,ImageCombineType(Multiply)
1,300003,4464700004,1,EditableImage[2048][2048],Vector2(962;1),Vector2(1086;1633),Color3(118;179;77),0.30000000000000004,ImageCombineType(Multiply)
1,200002,2772100008,1,EditableImage[2048][2048],Vector2(1;1230),Vector2(1522;772),Color3(237;108;86),0.8,ImageCombineType(AlphaBlend)
1,200002,3661299998,1,EditableImage[2048][2048],Vector2(1;1155),Vector2(1676;859),Color3(107;254;195),0.9,ImageCombineType(Multiply)
1,300003,1888200001,1,EditableImage[2048][2048],Vector2(1;37),Vector2(729;935),Color3(18;101;209),0.6000000000000001,ImageCombineType(AlphaBlend)
1,200002,132499991,1,EditableImage[2048][2048],Vector2(1;911),Vector2(200;173),Color3(4;220;88),0.1,ImageCombineType(Add)
1,200002,639899984,1,EditableImage[1024][1024],Vector2(1;54),Vector2(295;887),Color3(60;91;89),0.7000000000000001,ImageCombineType(AlphaBlend)
1,200002,187499973,1,EditableImage[2048][2048],Vector2(1501;251),Vector2(547;1785),Color3(14;151;181),0.7000000000000001,ImageCombineType(Overwrite)
1,200002,4059500003,1,EditableImage[2048][2048],Vector2(763;1232),Vector2(1273;816),Color3(190;10;185),0.4,ImageCombineType(Add)
1,200002,2066699992,1,EditableImage[2048][2048],Vector2(1;1),Vector2(1383;665),Color3(38;27;232),0.1,ImageCombineType(AlphaBlend)
1,400004,1210899995,1,EditableImage[2048][2048],Vector2(1;1531),Vector2(543;517),Color3(150;62;234),0.30000000000000004,ImageCombineType(Add)
1,299974,276100007,1,EditableImage[1024][1024],Vector2(746;1),Vector2(153;591),Color3(142;231;134),0.1,ImageCombineType(Multiply)
1,200002,156399998,1,EditableImage[1024][1024],Vector2(353;284),Vector2(671;78),Color3(163;201;241),0.30000000000000004,ImageCombineType(AlphaBlend)
1,200002,4804800003,1,EditableImage[2048][2048],Vector2(684;1),Vector2(1364;1400),Color3(205;127;22),0.7000000000000001,ImageCombineType(Multiply)
1,200002,2490200016,1,EditableImage[2048][2048],Vector2(934;299),Vector2(461;1426),Color3(206;101;214),0.5,ImageCombineType(Add)
1,100001,4066800001,1,EditableImage[2048][2048],Vector2(117;923),Vector2(1468;1125),Color3(58;81;202),0,ImageCombineType(Multiply)
1,200002,2094899974,1,EditableImage[2048][2048],Vector2(1071;973),Vector2(854;1075),Color3(168;34;187),0.8,ImageCombineType(AlphaBlend)
1,200002,5067899998,1,EditableImage[2048][2048],Vector2(1165;51),Vector2(883;1387),Color3(193;23;158),0.5,ImageCombineType(Add)
1,300003,32399985,1,EditableImage[1024][1024],Vector2(1;623),Vector2(495;401),Color3(4;7;50),0.8,ImageCombineType(Overwrite)
1,200002,5636999995,1,EditableImage[2048][2048],Vector2(50;401),Vector2(1563;886),Color3(37;132;235),0.9,ImageCombineType(Add)
1,200002,5499984,1,EditableImage[2048][2048],Vector2(287;336),Vector2(415;33),Color3(148;71;254),0,ImageCombineType(BlendSourceOver)
1,200002,14799997,1,EditableImage[512][512],Vector2(253;107),Vector2(49;79),Color3(180;43;85),0.4,ImageCombineType(Multiply)
1,200002,1581499994,1,EditableImage[2048][2048],Vector2(1;1),Vector2(698;1016),Color3(146;151;174),0.8,ImageCombineType(AlphaBlend)
1,200002,51700016,1,EditableImage[2048][2048],Vector2(524;21),Vector2(736;442),Color3(123;241;62),0.8,ImageCombineType(Overwrite)
1,200002,544300012,1,EditableImage[1024][1024],Vector2(61;555),Vector2(460;454),Color3(156;100;210),0.30000000000000004,ImageCombineType(BlendSourceOver)
1,600005,108000008,1,EditableImage[2048][2048],Vector2(1;435),Vector2(985;438),Color3(153;84;127),0.30000000000000004,ImageCombineType(Overwrite)
1,400004,3953999986,1,EditableImage[2048][2048],Vector2(386;1198),Vector2(1634;850),Color3(16;138;224),0.4,ImageCombineType(Multiply)
1,300003,2697699995,1,EditableImage[2048][2048],Vector2(428;607),Vector2(776;871),Color3(0;17;45),0.7000000000000001,ImageCombineType(BlendSourceOver)
1,200002,3615299997,1,EditableImage[2048][2048],Vector2(951;454),Vector2(937;1318),Color3(180;201;166),0.7000000000000001,ImageCombineType(Multiply)
1,199973,301900000,1,EditableImage[2048][2048],Vector2(841;1),Vector2(1207;1274),Color3(197;84;254),0,ImageCombineType(BlendSourceOver)
1,200002,393800001,1,EditableImage[2048][2048],Vector2(551;1227),Vector2(122;821),Color3(242;7;182),0,ImageCombineType(Add)
1,200002,4473300011,1,EditableImage[2048][2048],Vector2(161;971),Vector2(1603;1077),Color3(85;230;172),0.6000000000000001,ImageCombineType(Multiply)
1,200002,15900005,1,EditableImage[2048][2048],Vector2(1762;1148),Vector2(84;900),Color3(160;211;130),0.8,ImageCombineType(Overwrite)
