elapsed.ps,repeats.n,param.array.array
21579,100000,array<integer>[3]
22131,100000,array<integer>[3]
21497,100000,array<integer>[3]
21341,100000,array<integer>[3]
21941,100000,array<integer>[3]
21637,100000,array<integer>[3]
21765,100000,array<integer>[3]
22711,100000,array<integer>[3]
23546,100000,array<integer>[3]
21909,100000,array<integer>[3]
21910,100000,array<integer>[3]
21668,100000,array<integer>[3]
22372,100000,array<integer>[3]
23523,100000,array<integer>[3]
21695,100000,array<integer>[3]
21561,100000,array<integer>[3]
21622,100000,array<integer>[3]
21654,100000,array<integer>[3]
21561,100000,array<integer>[3]
22147,100000,array<integer>[3]
21488,100000,array<integer>[3]
21516,100000,array<integer>[3]
21676,100000,array<integer>[3]
21666,100000,array<integer>[3]
21936,100000,array<integer>[3]
21943,100000,array<integer>[3]
21647,100000,array<integer>[3]
23687,100000,array<integer>[3]
21786,100000,array<integer>[3]
21386,100000,array<integer>[3]
21629,100000,array<integer>[3]
21512,100000,array<integer>[3]
21507,100000,array<integer>[3]
21883,100000,array<integer>[3]
21345,100000,array<integer>[3]
21444,100000,array<integer>[3]
22252,100000,array<integer>[3]
21427,100000,array<integer>[3]
21450,100000,array<integer>[3]
21267,100000,array<integer>[3]
21594,100000,array<integer>[3]
21640,100000,array<integer>[3]
21755,100000,array<integer>[3]
21986,100000,array<integer>[3]
23030,100000,array<integer>[3]
23038,100000,array<integer>[3]
21613,100000,array<integer>[3]
21511,100000,array<integer>[3]
22313,100000,array<integer>[3]
21701,100000,array<integer>[3]
25234,100000,array<integer>[3]
29703,100000,array<integer>[3]
29331,100000,array<integer>[3]
28026,100000,array<integer>[3]
21845,100000,array<integer>[3]
21532,100000,array<integer>[3]
21478,100000,array<integer>[3]
21487,100000,array<integer>[3]
22023,100000,array<integer>[3]
21840,100000,array<integer>[3]
21750,100000,array<integer>[3]
21594,100000,array<integer>[3]
22314,100000,array<integer>[3]
21705,100000,array<integer>[3]
21568,100000,array<integer>[3]
24179,100000,array<integer>[3]
21410,100000,array<integer>[3]
28189,100000,array<integer>[3]
29556,100000,array<integer>[3]
29513,100000,array<integer>[3]
25523,100000,array<integer>[3]
21720,100000,array<integer>[3]
23023,100000,array<integer>[3]
21566,100000,array<integer>[3]
21561,100000,array<integer>[3]
21381,100000,array<integer>[3]
21514,100000,array<integer>[3]
21576,100000,array<integer>[3]
