runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.n.integer,param.field.integer,param.width.integer
7,3696,27432,250000,3395908839,13,8
7,3819,27797,250000,611622183,15,14
7,3940,28955,250000,2273714339,0,8
7,4080,28570,250000,2651424489,15,1
7,4099,27683,250000,3027247537,12,2
7,3791,29594,250000,3563565415,3,7
7,3922,30244,250000,2176751792,10,12
7,3921,34908,250000,1034365092,14,2
7,3800,35256,250000,2838515541,3,14
7,3789,34929,250000,3436477380,3,3
7,3898,30151,250000,3040436859,3,9
7,3800,27810,250000,1264635731,9,11
7,3886,34213,250000,2124185660,11,7
7,3700,32343,250000,1576031462,3,9
7,3812,28719,250000,1219741540,10,8
7,3773,35005,250000,1216493416,12,2
7,3875,34772,250000,3154053149,3,14
7,3717,35032,250000,2906535322,5,12
7,3801,29424,250000,2718053274,1,5
7,3725,29076,250000,3137743251,15,9
7,3923,34456,250000,1854516483,11,1
7,3806,29426,250000,1038823096,0,5
7,4158,29262,250000,4002259664,14,8
7,3938,28229,250000,61071808,13,1
7,4082,29404,250000,3395082056,15,13
7,3838,28119,250000,1149029725,13,5
7,3683,32846,250000,102535844,10,16
7,3757,30168,250000,1205175382,5,2
7,3963,28552,250000,1148471302,10,14
7,3923,29327,250000,1850266670,2,11
7,3801,29921,250000,1648583568,1,16
7,3825,29396,250000,1787058373,1,5
7,4068,29127,250000,531792983,6,13
7,3864,29728,250000,2024405621,6,5
7,3950,29274,250000,3158893756,8,5
7,3701,28356,250000,729488741,3,10
7,3729,29093,250000,1055399367,15,7
7,3749,32126,250000,3065693230,10,7
7,3893,29982,250000,1251007772,0,12
7,3894,30417,250000,2243149471,13,9
7,3863,27751,250000,2828826164,5,2
7,3778,28725,250000,3423520696,7,6
7,3905,30980,250000,25340685,11,5
7,3779,31410,250000,3329746128,8,2
7,3801,29499,250000,4183703138,9,3
7,3965,28863,250000,878289926,11,7
7,3959,29518,250000,3373887948,1,14
7,3863,29754,250000,3521613674,7,12
7,3962,31564,250000,3361857400,15,15
7,3738,29829,250000,74608906,14,15
7,3808,31038,250000,151216939,1,15
7,3716,28330,250000,1855761531,5,2
7,3885,28319,250000,2068648818,11,14
7,3883,28045,250000,1877731587,13,4
7,3647,28387,250000,2167682881,7,13
7,3835,28022,250000,26096844,10,12
7,3717,32123,250000,651377343,15,5
7,4019,34792,250000,1325593234,15,6
7,3853,29636,250000,4152737907,6,3
7,3872,36716,250000,637181805,8,11
7,3711,35458,250000,2348774041,5,13
7,3723,36938,250000,3176428784,1,12
7,3878,29612,250000,3617806326,4,13
7,3698,31988,250000,1926099429,15,15
7,3884,28142,250000,3625779896,0,11
7,3753,30075,250000,2449425045,15,1
7,3714,30877,250000,891940395,15,5
7,3687,31055,250000,2371367372,13,11
7,3771,31681,250000,1989269342,5,4
7,3741,31243,250000,2951368728,0,7
7,4044,28877,250000,586897582,15,4
7,3895,29339,250000,3207858740,13,13
7,3697,29718,250000,2322856319,8,16
7,3924,30190,250000,413140982,0,13
7,3867,29398,250000,2839359923,3,10
7,3821,28817,250000,2594903237,9,2
7,3979,31068,250000,962728031,2,13
7,3907,29948,250000,4097235947,8,10
7,3740,29183,250000,2852912792,6,3
7,3798,34550,250000,2216627584,12,13
7,3905,30744,250000,1931181706,0,4
7,3686,28922,250000,520127757,8,15
7,4169,30634,250000,242371584,4,5
