elapsed.ps,repeats.n,param.a.color3,param.b.color3,param.alpha.float
72378,100000,0.129412; 0.364706; 0.721569,0.184314; 0.282353; 0.176471,0.8789377905924393
71309,100000,0.705882; 0.580392; 0.913725,0.615686; 0.470588; 0.901961,0.5963641707380027
72771,100000,0.745098; 0.556863; 0.588235,0.0627451; 0.0392157; 0.447059,0.18137140075089364
72133,100000,0.772549; 0.960784; 0.247059,0.129412; 0.337255; 0.290196,0.6452027616461276
76278,100000,0.54902; 0.592157; 0.321569,0.27451; 0.8; 0.654902,0.7183616909524728
76395,100000,0.898039; 0.933333; 0.137255,0.756863; 0.905882; 0.639216,0.663383880053755
66722,100000,0.862745; 0.584314; 0.792157,0.823529; 0.439216; 0.709804,0.12636269807671047
75242,100000,0.435294; 0.447059; 0.796078,0.607843; 0.0705882; 0.8,0.15282780649405922
68194,100000,0.2; 0.0431373; 0.780392,0.4; 0.996078; 0.698039,0.7854247696677571
71399,100000,0.72549; 0.152941; 0.776471,0.611765; 0.870588; 0.117647,0.8816358105185048
72331,100000,0.996078; 0.8; 0.819608,0.47451; 0.756863; 0.180392,0.8301174458653624
81418,100000,0.509804; 0.909804; 0.392157,0.172549; 0.87451; 0.643137,0.7233125691193555
68623,100000,0.74902; 0.0745098; 0.835294,0.584314; 0.996078; 0.658824,0.15588348581004316
78967,100000,0.764706; 0.435294; 0.176471,0.27451; 0.419608; 0.192157,0.5162921000284036
72116,100000,0.666667; 0.772549; 0.443137,0.290196; 0.827451; 0.235294,0.8333191072265564
76789,100000,0.831373; 0.678431; 0.215686,0.478431; 0.180392; 0.415686,0.6073320492737934
73530,100000,0.541176; 0.85098; 0.713726,0.717647; 0.235294; 0.360784,0.20814041311058043
81255,100000,0.811765; 0.666667; 0.482353,0.341176; 0.439216; 0.984314,0.018241018843455137
69583,100000,0.952941; 0.615686; 0.576471,0.87451; 0.133333; 0.964706,0.5127252127659315
80447,100000,0.839216; 0.396078; 0.945098,0.603922; 0.847059; 0.827451,0.7399446076818816
74525,100000,0.929412; 0.815686; 0.2,0.360784; 0.956863; 0.317647,0.3599988009386717
84525,100000,0.376471; 0.223529; 0.745098,0.0313726; 0.270588; 0.235294,0.8178207828869697
89825,100000,0.305882; 0.388235; 0.960784,0.827451; 0.392157; 0.0980392,0.5922107278942983
75023,100000,0.611765; 0.32549; 0.133333,0.717647; 0.415686; 0.819608,0.7405733315266211
81781,100000,0.0862745; 0.784314; 0.560784,0.768627; 0.105882; 0.278431,0.8253774875078158
75576,100000,0.87451; 0.886275; 0.490196,0.027451; 0.521569; 0.529412,0.9795182259870788
83559,100000,0.494118; 0.486275; 0.2,0.392157; 0.780392; 0.00392157,0.5912426786497283
74620,100000,0.00392157; 0.215686; 0.00784314,0.678431; 0.439216; 0.839216,0.5449454842937655
81813,100000,0.666667; 0.607843; 0.423529,0.576471; 0.94902; 0.941176,0.540219468631422
76955,100000,0.713726; 0.894118; 0.843137,0.0117647; 0.0313726; 0.337255,0.41513745580645334
72674,100000,0.533333; 0.894118; 0.772549,0.803922; 0.054902; 0.117647,0.0475556505311411
72885,100000,0.0627451; 0.529412; 0.545098,0.435294; 0.203922; 0.305882,0.2323982326050259
76844,100000,0.0901961; 0.941176; 0.360784,0.796078; 0.94902; 0.843137,0.6760820426318813
76806,100000,0.658824; 0.87451; 0.596078,0.94902; 0.666667; 0.254902,0.5239330280668069
81137,100000,0.552941; 0.411765; 0.12549,0.278431; 0.0666667; 0.862745,0.833779815851648
80375,100000,0.301961; 0.156863; 0.615686,0.0941176; 0.0823529; 0.960784,0.9408761658254099
87199,100000,0.14902; 0.286275; 0.972549,0.905882; 0.32549; 0.180392,0.3778575122241878
72749,100000,0.690196; 0.411765; 0.247059,0.796078; 0.470588; 0.709804,0.4882447579795491
74810,100000,0.470588; 0.12549; 0.631373,0.709804; 0.345098; 0.615686,0.4004261917908371
83872,100000,0.556863; 0.968627; 0.811765,0.211765; 0.639216; 0.992157,0.631670499794026
101813,100000,0.372549; 0.580392; 0.941176,0.376471; 0.968627; 0.34902,0.21911385479563258
