runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.len.integer
6,3225,106199,10000,923
7,3899,159481,10000,712
7,3905,177322,10000,911
7,3938,135221,10000,512
7,3906,90220,10000,121
7,4875,78945,10000,45
7,5969,221698,10000,1007
7,3913,216863,10000,957
7,4867,71844,10000,30
7,4871,174252,10000,780
7,3972,171643,10000,776
7,3895,136506,10000,417
7,7025,290263,10000,1022
7,4877,159044,10000,616
7,6718,117443,10000,332
7,4518,88763,10000,215
7,4921,124512,10000,302
7,3903,94536,10000,242
7,6713,98496,10000,93
7,6743,135695,10000,469
7,3906,129796,10000,457
7,4872,83218,10000,83
7,4879,159534,10000,621
7,4870,141569,10000,582
7,4879,73623,10000,48
7,4953,62067,10000,2
7,4879,127889,10000,369
7,4958,208989,10000,918
7,4872,173862,10000,691
7,4893,216559,10000,1009
7,7203,174537,10000,744
7,4879,87512,10000,137
7,3902,68359,10000,80
7,5567,180381,10000,781
7,4871,165253,10000,712
7,4501,192174,10000,825
7,7164,101080,10000,264
7,4871,121896,10000,358
7,3897,212191,10000,769
7,5651,175879,10000,804
7,3896,128378,10000,557
7,3898,163506,10000,748
7,3905,102985,10000,297
7,4870,208931,10000,959
7,3898,194839,10000,966
7,5630,101193,10000,236
7,4879,79396,10000,145
7,3960,150240,10000,642
7,4878,210713,10000,985
7,4875,156786,10000,701
7,4875,183969,10000,872
7,5511,84719,10000,92
7,4872,154590,10000,544
7,4884,118786,10000,339
7,7100,113022,10000,275
7,3904,148728,10000,630
7,6720,142414,10000,422
7,5648,159165,10000,599
7,4874,83690,10000,118
7,6721,225254,10000,989
7,4871,150738,10000,509
7,4879,125520,10000,406
7,6712,205928,10000,831
7,4871,188877,10000,794
7,3902,112146,10000,353
7,6712,133055,10000,243
7,7163,174382,10000,702
7,3914,146988,10000,547
7,3905,150510,10000,583
7,3904,183742,10000,862
7,6710,199656,10000,765
7,4872,73865,10000,74
7,5906,170379,10000,696
7,4879,192934,10000,840
7,4878,194048,10000,605
7,5597,163892,10000,710
7,5121,146192,10000,470
7,3897,132499,10000,423
7,4877,157728,10000,511
7,4877,96624,10000,252
7,4871,68862,10000,31
7,3905,136811,10000,516
7,3903,112950,10000,281
7,4873,105138,10000,274
7,7091,176989,10000,760
7,6711,151809,10000,580
7,3899,182923,10000,839
7,5826,161592,10000,588
7,6723,192638,10000,901
7,4873,176523,10000,720
7,7034,117993,10000,288
7,4878,205225,10000,992
7,6721,127363,10000,285
7,5558,171713,10000,633
7,3906,123837,10000,420
7,4885,160755,10000,584
