runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.x.float,param.y.float
2,3316,22293,50000,3.174465958337158e+307,-1.2799979415473766e+308
2,3247,23023,50000,4.890757156683373e+307,1.2312650551855868e+308
2,3247,22553,50000,-9.18364783435051e+307,-1.0587497468705903e+308
2,3247,22507,50000,1.1219148366331388e+308,-1.6613300237925992e+308
2,3254,22176,50000,-1.054058476427465e+308,1.1327963122819985e+308
2,3248,22425,50000,1.2212881772224783e+308,1.5869420114368501e+308
2,3317,22365,50000,5.558111381536201e+307,-1.6214584720671715e+308
2,3249,23014,50000,-1.7983921660068106e+307,2.247909402801539e+307
2,3337,22219,50000,-1.5463540448189447e+308,-1.2319050005300078e+308
2,3249,22179,50000,5.560929803911989e+307,-1.612956064886827e+308
2,3249,22583,50000,-8.627050758329313e+307,-1.2587363016908474e+308
2,3340,23521,50000,-1.2360226663621734e+308,-1.5947891874150728e+308
2,3247,22632,50000,-1.6519780587606813e+308,8.855082311892759e+307
2,3250,23301,50000,-8.597277727216155e+307,8.42749449378918e+307
2,3247,22431,50000,1.0590777291134918e+307,-7.166869384644862e+307
2,3247,23534,50000,-1.4656106528002736e+308,7.115830213065105e+307
2,3259,22460,50000,-1.6726901308979422e+308,6.667392733839142e+307
2,3246,22806,50000,1.1650974386030586e+308,1.590611382601014e+308
2,3246,22816,50000,-1.7619848295339755e+308,9.33022963600442e+307
2,3247,22719,50000,1.3449432577401614e+308,-8.545775737733485e+307
2,3260,22433,50000,-1.3890880256298342e+308,1.916692184863519e+307
2,3263,22690,50000,-1.1332674296485985e+308,-1.990007034890963e+306
2,3255,22444,50000,-7.171482332870717e+307,-3.8404233611713044e+306
2,3250,23270,50000,-8.292445098720001e+307,5.531641655291991e+307
2,3250,22232,50000,-1.6900657367527266e+308,-2.8584052165237915e+307
2,3250,23033,50000,5.915255195410319e+307,6.781537844655197e+307
2,3249,22424,50000,6.721055898036991e+307,8.674835636485461e+306
2,3262,22530,50000,5.931783800465233e+307,-5.223699384323213e+307
2,3248,22020,50000,6.149785353378764e+307,1.4795417335488015e+308
2,3257,22366,50000,1.0693307200933945e+308,-9.953044697475522e+307
2,3248,23009,50000,2.5026275858720125e+307,-1.4178509944118327e+308
