runner.index.n,runner.baseline.ps,elapsed.ps,repeats.n,param.value.float
3,3416,24335,250000,8.617356473547932e+307
3,3514,24456,250000,1.0152867199129229e+307
3,3495,24816,250000,1.2661683517971227e+308
3,3367,24243,250000,3.638815995203044e+307
3,3399,24264,250000,1.5215993546868046e+307
3,3411,24024,250000,1.603737005233387e+308
3,3503,24288,250000,1.3572310834486202e+308
3,4357,24500,250000,1.4388396528774643e+308
4,3246,17774,250000,9.959071693012796e+307
4,3309,18108,250000,4.2566042591641325e+307
4,3274,18203,250000,1.1544618834990248e+308
4,3370,17976,250000,3.381692550863942e+307
4,3275,17966,250000,1.3323004107995348e+308
4,3349,23699,250000,1.6841554074208758e+308
4,3392,18241,250000,1.0083778816370158e+308
4,3332,17788,250000,1.694188869640979e+308
4,3318,17887,250000,4.388079050460229e+307
4,3276,17798,250000,1.6377289140884654e+308
4,3244,17862,250000,1.7283126869092179e+308
4,3268,18177,250000,1.346134726132628e+308
4,3359,17837,250000,1.6212693363613472e+308
4,3245,17982,250000,5.92071436297743e+307
4,3277,18112,250000,1.0648761150559175e+308
4,3286,18094,250000,1.831138982565134e+307
4,3260,17978,250000,1.530165251916388e+308
4,3268,17850,250000,1.7434521444920567e+308
4,3343,17837,250000,4.562735047146204e+307
4,3267,17879,250000,9.41331227547298e+307
4,3274,17853,250000,9.219176062201897e+307
4,3284,17763,250000,1.2878108621437927e+308
4,3260,18593,250000,1.5934972239831034e+308
4,3282,17840,250000,1.1630433187122387e+308
4,3341,17914,250000,1.4821515713310885e+308
4,3249,17982,250000,8.328360586706921e+307
4,3319,26100,250000,1.667729859534827e+308
4,3345,21595,250000,3.3916943781957206e+307
4,3255,17785,250000,8.624091834216537e+307
4,3289,17966,250000,1.3330630219172604e+308
4,3349,18579,250000,1.1870734082162895e+308
4,3253,18773,250000,1.771770639316801e+308
4,3275,18821,250000,6.917220047846798e+307
4,3282,19364,250000,7.08366854224173e+306
4,3245,18857,250000,1.3333415909504237e+308
4,3265,18784,250000,7.937671955414706e+307
4,3354,18499,250000,9.85718207985858e+307
4,3248,18725,250000,1.5123093907588255e+308
4,3274,18971,250000,1.2510083923010932e+308
4,3276,19454,250000,1.3924431333143646e+308
4,3249,18755,250000,5.462490597049773e+307
4,3269,18752,250000,1.5030921542197102e+307
4,3343,18820,250000,5.95410783882228e+306
4,3247,17886,250000,8.613780238147067e+307
4,3337,18227,250000,1.7224162941427274e+308
4,3271,18939,250000,6.200846589451851e+307
4,3314,19712,250000,3.488896697579547e+306
4,3267,18511,250000,1.638636382174327e+308
4,3410,17796,250000,1.7237992703108202e+308
4,3257,17807,250000,2.494696250285258e+307
4,3301,17959,250000,8.423097764864876e+307
4,3305,20637,250000,1.3802520936038474e+308
4,3247,17888,250000,2.994415499204809e+307
4,3289,18521,250000,9.414961523626842e+307
4,3327,19036,250000,6.275405814669075e+307
4,3316,20101,250000,3.8756347377709884e+307
4,3296,18529,250000,1.6964804362831488e+307
4,3274,17763,250000,1.2932444520689228e+308
4,3245,18048,250000,9.648175437037821e+307
4,3290,17872,250000,8.818528978629659e+307
4,3330,17820,250000,1.6736345286619847e+308
4,3252,18669,250000,6.090465230802389e+307
4,3284,18763,250000,6.08388934032026e+307
4,3353,18035,250000,1.197655405152604e+308
4,3265,17973,250000,1.3469177296566823e+308
4,3285,17955,250000,1.6179521930563882e+308
4,3378,17881,250000,1.7787034210231352e+308
4,3247,17984,250000,1.385989733889337e+308
4,3285,17897,250000,1.4589553116051222e+308
4,3284,17906,250000,1.4026114079911142e+308
4,3249,18837,250000,2.8536917861239104e+306
4,3343,18846,250000,9.366426331586507e+307
4,3436,18758,250000,1.3084358346478311e+308
4,3248,19099,250000,8.698967413192202e+307
4,3332,18899,250000,1.5763143768650502e+308
4,3275,20075,250000,1.1164954696768894e+308
4,3250,18951,250000,1.7475757832026721e+308
4,3263,18660,250000,8.294834067706818e+307
4,3339,19061,250000,1.2914980046978429e+308
4,3244,18579,250000,1.1306048190532513e+308
4,3267,18980,250000,4.287739058069645e+306
4,3326,19908,250000,1.0340531124217385e+308
4,3299,19835,250000,1.3178296626668852e+308
4,3337,18840,250000,1.782694052279813e+308
4,3407,18929,250000,6.926286500162561e+307
4,3295,20151,250000,6.626046389013154e+307
4,3284,18749,250000,1.1120757731926094e+308
4,3283,18816,250000,1.7742888090305893e+308
4,3262,19810,250000,6.682018830730443e+307
4,3279,18946,250000,5.180290009321004e+307
4,3422,19276,250000,7.23601818728792e+307
4,3313,18588,250000,3.6261067914808224e+307
4,3319,19950,250000,1.0543323447696496e+308
4,3284,18249,250000,1.3836067118009523e+307
4,3352,18137,250000,1.5882576819701888e+308
4,3275,18252,250000,9.502214787985727e+307
4,3404,17906,250000,1.4109462955217091e+308
4,3285,17831,250000,1.4842762403409571e+307
4,3270,18013,250000,1.637970941294174e+308
4,3279,17615,250000,1.731216680087259e+308
5,3916,25365,250000,7.599311073213737e+306
5,3912,25274,250000,1.6970185173686266e+308
5,3906,25099,250000,1.2339038994871463e+308
5,3904,25440,250000,8.59463462891766e+307
5,4680,25517,250000,5.594299942628338e+307
5,4587,25196,250000,9.158859700434283e+307
5,4432,25077,250000,1.0266998374032908e+308
5,3930,25012,250000,4.191719379841332e+307
5,3896,24948,250000,1.6851221948137316e+308
5,4508,24989,250000,1.1996502560457684e+308
5,4844,24959,250000,1.0340268151977092e+308
5,4299,25021,250000,1.2647276467536483e+308
5,4592,24965,250000,8.078765035075456e+307
5,3906,27058,250000,1.283440088804425e+308
5,3980,25461,250000,1.0394367305262114e+308
5,4710,25015,250000,2.449923710505065e+307
5,3969,25294,250000,1.2682664257286022e+308
5,3917,25250,250000,4.817199193762299e+307
5,3913,25402,250000,1.7706467976754338e+308
5,3914,25270,250000,1.9521403785746617e+307
5,3900,25240,250000,1.4280552426547373e+307
5,4020,25278,250000,1.5566313037309083e+308
5,4359,24941,250000,3.03910587837789e+307
5,4596,25161,250000,1.1141931771656674e+308
5,4095,25054,250000,1.4553866864471158e+308
5,4393,25248,250000,1.552716232499691e+307
5,4678,25183,250000,1.1895678909434981e+308
5,4171,25043,250000,1.0807872931777573e+308
5,4561,24982,250000,1.7266955963384675e+308
5,4759,25026,250000,5.665244084351344e+307
5,4281,24972,250000,1.4650557664411972e+308
5,4546,24986,250000,5.597126606417697e+307
5,4833,24970,250000,1.7516566232224905e+308
5,4328,24951,250000,1.4154995683322326e+308
5,4670,24911,250000,6.796724303687459e+307
5,4878,25245,250000,1.1278740484096956e+308
5,3906,25249,250000,2.415058552807513e+307
5,4686,25265,250000,6.332931632668014e+307
5,3907,25179,250000,1.7430269760315746e+308
5,4474,24998,250000,1.6573922248211015e+308
5,3960,25425,250000,8.794456354016574e+307
5,3911,25057,250000,1.7278142615060409e+308
5,4540,25064,250000,1.2301432511001193e+307
5,4828,24989,250000,2.3631236155261342e+305
5,3917,25012,250000,1.750812997404794e+307
5,4621,25284,250000,8.485992093210388e+307
5,4227,25121,250000,9.35266931475398e+307
5,3906,25097,250000,7.703702020134233e+307
5,4698,24954,250000,4.2142303501494454e+307
5,4230,25012,250000,1.6503873160040392e+308
5,4480,25084,250000,1.7283249568245754e+308
5,4720,25035,250000,1.1134666608903934e+308
5,3956,25046,250000,1.6640525056373967e+308
5,3908,25072,250000,1.1424610342984699e+308
5,4695,25072,250000,1.1556450356367455e+308
5,3903,25043,250000,1.661752935213565e+308
5,3915,25291,250000,5.5950615791944485e+306
5,4889,25132,250000,7.598636885021909e+307
5,3955,24964,250000,6.310141521130918e+307
5,3903,25127,250000,1.193178764783068e+308
5,3904,24942,250000,2.6994946339894434e+307
5,4503,25035,250000,1.5103495963789762e+308
5,4794,25095,250000,8.711050954328688e+307
5,4294,24928,250000,1.033449410619856e+307
5,3988,28139,250000,1.4996995591072851e+308
5,4883,24965,250000,2.534284927883139e+307
5,3916,35688,250000,1.1904761584798605e+306
5,3907,24932,250000,1.779752987635097e+308
5,4146,25087,250000,5.377371001493966e+307
5,4446,25052,250000,1.304576652898883e+308
5,4809,25130,250000,8.66809637174994e+306
5,3915,25011,250000,1.6367928495487029e+308
5,4515,25158,250000,1.2851762040817437e+308
5,4716,25073,250000,1.2763827346485764e+308
5,4310,24998,250000,1.519745875194787e+307
5,4596,25031,250000,1.4628416919115938e+307
5,4926,25091,250000,1.646442559938514e+308
5,3904,24988,250000,1.0669619271381728e+308
5,4668,25001,250000,1.19702379427661e+307
5,4164,24944,250000,8.706448842505916e+307
5,4448,24962,250000,2.1994056656060862e+307
5,4752,24975,250000,1.1757040333280393e+308
5,3958,24887,250000,1.013665932095041e+308
5,4525,24998,250000,9.067756926853311e+307
5,4715,25021,250000,1.3456818745237115e+308
5,3908,25282,250000,1.6125486792646948e+308
5,4621,24994,250000,2.8258291571373123e+307
5,3911,25089,250000,1.0132356975818647e+308
5,3957,24989,250000,1.9453126177317584e+307
5,4686,25053,250000,9.717880307059832e+307
5,3902,27086,250000,2.6000842695812327e+307
5,4491,28012,250000,1.558161642331855e+307
5,3911,26767,250000,9.18618199219996e+306
5,3906,26200,250000,1.6171322706090408e+308
5,4625,26394,250000,1.929795552729008e+307
5,4718,28190,250000,2.3546004025367194e+307
5,3907,25686,250000,1.1430789887082028e+308
5,3922,25164,250000,1.4335105956214444e+308
5,3903,25110,250000,7.443952833869197e+307
5,4412,24842,250000,1.8314877598154967e+307
6,3299,18112,250000,1.6650184473021066e+308
6,3244,17844,250000,1.2048986974968791e+308
6,3334,17766,250000,3.408661929383203e+307
6,3312,17705,250000,2.449561673755087e+307
6,3276,17868,250000,1.4459458573611148e+308
6,3276,17677,250000,1.6510838327220697e+308
6,3375,17900,250000,6.298987086076173e+307
6,3266,18196,250000,1.482524220096162e+308
6,3270,18169,250000,1.761710831873775e+307
6,3294,17772,250000,1.2495197813655328e+308
6,3267,18226,250000,4.017558332008497e+307
6,3312,18606,250000,1.5295536578186376e+308
6,3331,18080,250000,2.2559125590497283e+307
6,3263,18145,250000,1.4938804670942803e+306
6,3325,18162,250000,2.3908609790481516e+307
6,3325,18347,250000,2.394190941774497e+307
6,3267,17736,250000,1.6478830486913384e+308
6,3334,18246,250000,1.7579436142848737e+308
6,3336,18479,250000,9.608871288539465e+307
6,3322,18198,250000,1.365877840251692e+308
6,3270,18326,250000,6.023979291448405e+307
6,3275,17786,250000,1.2719023522067976e+308
6,3270,19562,250000,1.5568651085219987e+308
6,3361,17954,250000,1.599916435919354e+308
6,3337,18025,250000,1.0435000679286298e+308
6,3265,18467,250000,1.2172235182576452e+308
6,3361,18428,250000,5.883419789691647e+307
6,3274,18161,250000,1.6156438248172374e+308
6,3283,19101,250000,1.302240636794279e+308
6,3281,19690,250000,1.1343025444106235e+308
6,3335,18211,250000,1.3185504957470693e+308
6,3265,18219,250000,6.943092264649651e+307
6,3285,18108,250000,1.6990827854614e+307
6,3286,17923,250000,8.290843016029854e+307
6,3268,18194,250000,1.3843045928133452e+308
6,3272,17898,250000,1.3735613614041979e+308
6,3344,18133,250000,1.0830580342113246e+308
6,3264,17875,250000,1.4738996309981664e+308
6,3267,18891,250000,8.64430633296154e+307
6,3324,19367,250000,1.4451737824323812e+307
6,3274,18920,250000,6.483302947778537e+307
6,3280,18312,250000,7.300418197672088e+306
6,3335,20605,250000,1.3224827227922752e+308
6,3268,18356,250000,5.234259362472039e+307
6,3264,18085,250000,1.378248261988694e+308
6,3297,18058,250000,4.281827027912885e+306
6,3266,18086,250000,1.039432031439724e+308
6,3265,18211,250000,1.602094278051893e+308
6,3340,18165,250000,5.788953487924143e+307
6,3268,18090,250000,1.3233955307478475e+308
6,3271,18199,250000,7.712116001401055e+307
6,3293,18015,250000,1.7562298607641183e+308
6,3277,18585,250000,1.0912965907904166e+308
6,3272,18129,250000,7.620660788105681e+307
6,3275,18058,250000,1.4104947208060283e+308
6,3273,18350,250000,1.5143972815761423e+308
6,3277,18427,250000,2.1394863844567005e+307
6,3270,17801,250000,2.7767239916863726e+307
6,3268,17943,250000,9.545103576125474e+307
6,3268,17980,250000,5.086776141945463e+307
6,3353,18129,250000,5.1568465309529304e+306
6,3275,18180,250000,1.1477064782318943e+307
6,3282,18221,250000,1.1698125374073425e+308
6,3307,18241,250000,1.2717540950220651e+308
6,3275,18522,250000,6.927372658810905e+307
6,3272,18358,250000,1.5505684212221572e+308
6,3329,17905,250000,6.126843893030883e+307
6,3270,18113,250000,1.0846866705668295e+308
6,3265,18011,250000,1.322003066707727e+306
6,3272,17947,250000,1.701151425724722e+308
6,3266,19841,250000,8.754484467736607e+307
6,3270,17961,250000,1.0440484436228236e+308
6,3347,18212,250000,9.000182474458235e+307
6,3269,17993,250000,3.6233668845517426e+307
6,3264,18100,250000,5.745171375887342e+306
6,3288,18099,250000,2.34649249431849e+307
6,3265,18272,250000,1.0143510566394961e+308
6,3265,18454,250000,1.6950067336663797e+308
6,3346,17988,250000,1.3583320071632513e+308
6,3265,18186,250000,1.3149803305065372e+308
6,3271,18129,250000,1.7972897500544364e+308
6,3267,18066,250000,7.911242944238731e+307
6,3263,18391,250000,7.326237255537206e+307
6,3263,18415,250000,3.2623206839236475e+307
6,3337,17894,250000,1.034777664425681e+307
6,3267,18231,250000,8.641337569009863e+307
6,3282,19483,250000,9.49654512686506e+306
6,3270,18089,250000,1.4135223406522915e+308
6,3260,18185,250000,3.107074609479021e+307
6,3269,18137,250000,8.984599990007598e+307
6,3346,17896,250000,9.071754869745429e+307
6,3264,18342,250000,5.753477648379005e+307
6,3267,18015,250000,1.5334489096723171e+308
6,3285,17987,250000,1.7761277665722305e+308
6,3274,18434,250000,1.6547275488489882e+307
6,3265,18570,250000,1.4641871735003084e+308
6,3298,19734,250000,1.7423241533806548e+308
6,3270,19865,250000,8.309073417429717e+307
6,3279,18828,250000,1.323127085788331e+308
6,3268,18970,250000,1.1757123880031896e+308
7,3290,19799,250000,1.5838712167520485e+308
7,3347,19456,250000,1.7875747599865736e+308
7,3277,19410,250000,6.02092797422816e+307
7,3259,19420,250000,1.2702805873782604e+308
7,3297,19464,250000,1.4319472550715864e+308
7,3290,19339,250000,1.4091600071386218e+308
7,3249,18668,250000,6.22360015617835e+307
