elapsed.ps,repeats.n,param.a.integer,param.b.integer
19872,100000,-4052105969163153,5870408789566135
15619,100000,-1079291869814091,7606895052147512
16721,100000,4300285926415972,2771434901754483
16858,100000,-2071651546205620,-5693734820529261
20501,100000,-3398998747335613,1545378579966794
16188,100000,-6410559018011167,5815009627748614
16584,100000,-4089740093988730,-3748349272195259
16440,100000,1793396039806733,-1996043414449761
16920,100000,-726191833943541,-2745592429167119
17277,100000,4151035505511737,-851039334700834
16906,100000,8681069955856385,8453330921128436
19639,100000,-5060165103172490,7338568731719275
16681,100000,8521994783310543,7318105339968523
16442,100000,7604385769318632,8892725026797751
17913,100000,8359740794841572,4914852225072512
22768,100000,-486507777484716,8986100595502978
17025,100000,5493532370901258,-1210728970808598
16831,100000,5851191639583441,-6573387553762407
17123,100000,-353503195093500,8129087740212789
16760,100000,-139950494807947,6188616406673046
16181,100000,-2521296068613348,7673269276126249
19606,100000,4427078980727246,5999025854536655
20109,100000,5789416940348600,4131405000278349
16638,100000,7770181238256746,1935895184366829
16191,100000,-5454461439341972,-689387945602886
16785,100000,7406409523089045,-1584292512196595
16623,100000,-3820341659783682,3267552235697978
16735,100000,6889087190364171,5938167199205195
15954,100000,-3627446737778942,-234389400070942
19601,100000,2931849297556974,-7510452811754092
16039,100000,5803878811758212,8857408913430673
16057,100000,-4956309515191390,6397751932510026
16675,100000,6743112894541866,-2766974310647991
16269,100000,-5280646841570275,4678227115089114
16460,100000,772848751663580,-5966642382337345
19551,100000,3136151446793656,2031096175617442
21587,100000,-8448408511736633,-8776066745712058
16803,100000,-3937868549939716,-7616369155897701
16210,100000,7035557463139106,7402394127273267
18476,100000,-1436098555555099,-7075893543394978
16434,100000,4394744457037835,2784743275250952
17096,100000,4766508671013615,1217661895122564
21830,100000,437327447326405,6003194707552966
23516,100000,-3657722061175813,8278049911803394
23014,100000,4270545140504050,1134283664507141
16544,100000,-8971554207712238,6709973544175789
15824,100000,-4795960705822653,194120989224097
16071,100000,-5522180844895761,-1716738126491012
16017,100000,-8132050810421692,-7898615709828410
17375,100000,-5457536424897650,6922052552967190
22055,100000,-2674067256914387,-4496316313701750
16380,100000,-6799287116763825,-1840802695528155
16564,100000,-4684005831338361,-938095910814224
